region,ip,prefixlength,state
apnic,2406:e401::,32,allocated
apnic,2406:e400::,32,allocated
apnic,2404:ab80::,32,allocated
apnic,2401:8300::,32,allocated
apnic,2001:df7:9980::,48,assigned
apnic,2001:df5:df00::,48,assigned
apnic,2001:df5:6a00::,48,assigned
apnic,2001:df4:5b00::,48,assigned
apnic,2001:df3:ea00::,48,assigned
apnic,2001:df3:300::,48,assigned
apnic,2001:df1:5540::,48,assigned
apnic,2001:df0:8d00::,48,assigned
apnic,2001:df0:7040::,48,assigned
apnic,2001:df0:1f00::,48,assigned
apnic,2001:df0:1d00::,48,assigned
apnic,2001:dec:c000::,48,assigned
apnic,2001:dde::,48,assigned
