region,version,ip,prefixlength,state
lacnic,ipv4,190.122.188.0,22,allocated
lacnic,ipv4,186.159.116.0,22,allocated
lacnic,ipv4,186.148.96.0,20,allocated
lacnic,ipv4,186.74.0.0,15,allocated
lacnic,ipv4,186.72.0.0,15,allocated
lacnic,ipv4,186.5.128.0,19,allocated
lacnic,ipv4,181.197.128.0,18,allocated
lacnic,ipv4,181.197.0.0,17,allocated
lacnic,ipv4,181.179.128.0,17,allocated
lacnic,ipv4,181.179.0.0,17,allocated
lacnic,ipv4,181.178.0.0,16,allocated
lacnic,ipv4,181.174.164.0,22,allocated
lacnic,ipv4,181.38.0.0,16,allocated
lacnic,ipv4,186.179.112.0,20,allocated
lacnic,ipv4,179.63.192.0,21,allocated
lacnic,ipv4,179.0.200.0,23,assigned
lacnic,ipv4,179.0.194.0,23,assigned
lacnic,ipv4,170.254.48.0,22,assigned
lacnic,ipv4,170.247.152.0,22,allocated
lacnic,ipv4,170.246.220.0,22,allocated
lacnic,ipv4,170.231.236.0,22,allocated
lacnic,ipv4,170.82.247.0,24,assigned
lacnic,ipv4,170.79.108.0,22,allocated
lacnic,ipv4,168.205.8.0,22,allocated
lacnic,ipv4,168.121.128.0,22,allocated
lacnic,ipv4,168.77.0.0,16,assigned
lacnic,ipv4,167.250.112.0,22,assigned
lacnic,ipv4,179.43.128.0,18,allocated
lacnic,ipv4,164.163.244.0,22,allocated
lacnic,ipv4,186.188.128.0,17,allocated
lacnic,ipv4,190.5.224.0,20,allocated
lacnic,ipv4,190.219.0.0,16,allocated
lacnic,ipv4,190.218.0.0,16,allocated
lacnic,ipv4,190.211.252.0,22,allocated
lacnic,ipv4,190.141.0.0,16,allocated
lacnic,ipv4,190.140.0.0,16,allocated
lacnic,ipv4,190.123.224.0,20,allocated
lacnic,ipv4,190.123.44.0,22,allocated
apnic,ipv4,103.173.150.0,23,allocated
lacnic,ipv4,190.122.160.0,20,allocated
lacnic,ipv4,190.114.0.0,19,allocated
lacnic,ipv4,190.109.0.0,19,allocated
lacnic,ipv4,190.106.224.0,22,assigned
lacnic,ipv4,190.2.224.0,20,allocated
lacnic,ipv4,190.105.168.0,22,allocated
lacnic,ipv4,190.102.56.0,21,allocated
lacnic,ipv4,190.97.160.0,21,allocated
lacnic,ipv4,190.57.32.0,20,allocated
lacnic,ipv4,190.34.0.0,15,allocated
