region,version,ip,prefixlength,state
afrinic,ipv4,102.218.176.0,22,assigned
afrinic,ipv4,102.213.212.0,23,assigned
afrinic,ipv4,102.130.32.0,21,assigned
afrinic,ipv4,197.243.0.0,17,allocated
afrinic,ipv4,197.234.244.0,22,allocated
afrinic,ipv4,197.157.212.0,22,allocated
afrinic,ipv4,197.157.128.0,18,allocated
afrinic,ipv4,196.223.240.0,21,allocated
afrinic,ipv4,102.214.220.0,23,assigned
afrinic,ipv4,196.44.240.0,20,allocated
afrinic,ipv4,105.179.0.0,19,allocated
afrinic,ipv4,105.178.0.0,17,allocated
afrinic,ipv4,102.215.8.0,22,allocated
afrinic,ipv4,102.22.128.0,18,allocated
afrinic,ipv4,41.242.140.0,22,allocated
afrinic,ipv4,41.197.0.0,16,allocated
afrinic,ipv4,41.186.0.0,16,allocated
afrinic,ipv4,154.68.64.0,18,allocated
afrinic,ipv4,102.217.92.0,22,assigned
afrinic,ipv4,41.74.160.0,20,allocated
afrinic,ipv4,102.219.173.0,24,assigned
afrinic,ipv4,156.38.8.0,21,assigned
afrinic,ipv4,196.49.7.0,24,assigned
afrinic,ipv4,196.223.12.0,24,assigned
afrinic,ipv4,41.138.80.0,21,allocated
afrinic,ipv6,2c0f:f860::,32,allocated
afrinic,ipv6,2c0f:f628::,32,allocated
afrinic,ipv6,2c0f:eb68::,32,allocated
afrinic,ipv6,2c0f:6700::,32,allocated
afrinic,ipv6,2c0f:6100::,32,allocated
afrinic,ipv6,2c0f:3880::,32,allocated
afrinic,ipv6,2001:43fd:a000::,48,assigned
afrinic,ipv6,2001:43ff:c000::,48,assigned
afrinic,ipv6,2001:43fd:8000::,48,assigned
afrinic,ipv6,2001:43fc:9000::,48,assigned
afrinic,ipv6,2001:43f8:11e0::,48,assigned
afrinic,ipv6,2001:43f8:d80::,48,assigned
afrinic,ipv6,2001:43f8:150::,48,assigned
afrinic,ipv6,2c0f:580::,32,allocated
afrinic,ipv6,2c0f:fe60::,32,allocated
