region,version,ip,prefixlength,state
ripencc,ipv4,195.168.64.0,18,allocated
ripencc,ipv4,185.134.212.0,22,allocated
ripencc,ipv4,185.134.188.0,22,allocated
ripencc,ipv4,185.133.60.0,22,allocated
ripencc,ipv4,185.130.220.0,22,allocated
ripencc,ipv4,185.122.52.0,22,allocated
ripencc,ipv4,185.121.64.0,22,allocated
ripencc,ipv4,185.139.224.0,22,allocated
ripencc,ipv4,185.113.44.0,22,allocated
ripencc,ipv4,185.110.140.0,22,allocated
ripencc,ipv4,185.103.144.0,22,allocated
ripencc,ipv4,185.98.208.0,22,allocated
ripencc,ipv4,185.94.156.0,22,allocated
ripencc,ipv4,185.91.200.0,22,allocated
ripencc,ipv4,185.90.164.0,22,allocated
ripencc,ipv4,185.110.144.0,22,allocated
ripencc,ipv4,185.87.12.0,22,allocated
ripencc,ipv4,185.140.28.0,22,allocated
ripencc,ipv4,185.142.48.0,22,allocated
ripencc,ipv4,185.172.104.0,22,allocated
ripencc,ipv4,185.171.140.0,22,allocated
ripencc,ipv4,185.165.140.0,22,allocated
ripencc,ipv4,185.165.36.0,22,allocated
ripencc,ipv4,185.162.76.0,22,allocated
ripencc,ipv4,185.161.172.0,22,allocated
ripencc,ipv4,185.140.40.0,22,allocated
ripencc,ipv4,185.160.108.0,22,allocated
ripencc,ipv4,185.155.48.0,22,allocated
ripencc,ipv4,185.152.196.0,22,allocated
ripencc,ipv4,185.152.112.0,22,allocated
ripencc,ipv4,185.152.28.0,22,allocated
ripencc,ipv4,185.151.0.0,22,allocated
ripencc,ipv4,185.144.164.0,22,allocated
ripencc,ipv4,185.156.128.0,22,allocated
ripencc,ipv4,185.85.36.0,22,allocated
ripencc,ipv4,185.78.152.0,22,allocated
ripencc,ipv4,185.77.144.0,22,allocated
ripencc,ipv4,185.30.120.0,22,allocated
ripencc,ipv4,185.29.156.0,22,allocated
ripencc,ipv4,185.28.144.0,22,allocated
ripencc,ipv4,185.28.124.0,22,allocated
ripencc,ipv4,185.28.24.0,22,allocated
ripencc,ipv4,185.25.248.0,22,allocated
ripencc,ipv4,185.37.240.0,22,allocated
ripencc,ipv4,185.23.112.0,22,allocated
ripencc,ipv4,185.22.176.0,22,allocated
ripencc,ipv4,185.19.72.0,22,allocated
ripencc,ipv4,185.18.64.0,22,allocated
ripencc,ipv4,185.14.116.0,22,allocated
ripencc,ipv4,185.9.112.0,22,allocated
ripencc,ipv4,178.253.128.0,18,allocated
ripencc,ipv4,185.22.212.0,22,allocated
ripencc,ipv4,185.42.4.0,22,allocated
ripencc,ipv4,185.43.112.0,22,allocated
ripencc,ipv4,185.48.4.0,22,allocated
ripencc,ipv4,185.74.196.0,22,allocated
ripencc,ipv4,185.70.0.0,22,allocated
ripencc,ipv4,185.69.104.0,22,allocated
ripencc,ipv4,185.69.48.0,22,allocated
ripencc,ipv4,185.66.200.0,23,allocated
ripencc,ipv4,185.65.220.0,22,allocated
ripencc,ipv4,185.65.69.0,24,allocated
ripencc,ipv4,185.63.156.0,22,allocated
ripencc,ipv4,185.61.16.0,22,allocated
ripencc,ipv4,185.59.184.0,22,allocated
ripencc,ipv4,185.58.100.0,22,allocated
ripencc,ipv4,185.54.228.0,22,allocated
ripencc,ipv4,185.54.140.0,22,allocated
ripencc,ipv4,185.50.212.0,22,allocated
ripencc,ipv4,185.48.248.0,22,allocated
ripencc,ipv4,185.175.132.0,22,allocated
ripencc,ipv4,178.211.129.0,24,allocated
ripencc,ipv4,185.175.188.0,22,allocated
ripencc,ipv4,185.177.4.0,22,allocated
ripencc,ipv4,194.150.204.0,23,allocated
ripencc,ipv4,194.127.135.0,24,allocated
ripencc,ipv4,194.127.129.0,24,allocated
ripencc,ipv4,194.127.106.0,24,allocated
ripencc,ipv4,194.127.100.0,24,allocated
ripencc,ipv4,194.99.28.0,22,allocated
ripencc,ipv4,194.150.210.0,23,allocated
ripencc,ipv4,193.163.77.0,24,allocated
ripencc,ipv4,193.87.0.0,16,allocated
ripencc,ipv4,193.57.212.0,22,allocated
ripencc,ipv4,193.8.92.0,23,allocated
ripencc,ipv4,193.8.84.0,23,allocated
ripencc,ipv4,193.3.242.0,24,allocated
ripencc,ipv4,192.145.84.0,22,allocated
ripencc,ipv4,193.161.112.0,22,allocated
ripencc,ipv4,188.214.108.0,24,allocated
ripencc,ipv4,194.154.224.0,19,allocated
ripencc,ipv4,194.160.0.0,16,allocated
ripencc,ipv4,195.146.128.0,19,allocated
ripencc,ipv4,195.146.0.0,19,allocated
ripencc,ipv4,195.98.128.0,19,allocated
ripencc,ipv4,195.98.0.0,19,allocated
ripencc,ipv4,195.91.0.0,17,allocated
ripencc,ipv4,195.80.160.0,19,allocated
ripencc,ipv4,194.156.68.0,22,allocated
ripencc,ipv4,195.72.0.0,19,allocated
ripencc,ipv4,195.28.128.0,19,allocated
ripencc,ipv4,195.28.96.0,19,allocated
ripencc,ipv4,195.28.64.0,19,allocated
ripencc,ipv4,195.20.160.0,19,allocated
ripencc,ipv4,195.12.128.0,19,allocated
ripencc,ipv4,194.213.109.0,24,allocated
ripencc,ipv4,195.46.64.0,19,allocated
ripencc,ipv4,188.190.100.0,22,allocated
ripencc,ipv4,188.167.0.0,16,allocated
ripencc,ipv4,188.123.120.0,21,allocated
ripencc,ipv4,185.220.120.0,22,allocated
ripencc,ipv4,185.218.28.0,22,allocated
ripencc,ipv4,185.216.164.0,22,allocated
ripencc,ipv4,185.216.20.0,22,allocated
ripencc,ipv4,185.214.192.0,22,allocated
ripencc,ipv4,185.213.144.0,22,allocated
ripencc,ipv4,185.222.208.0,24,allocated
ripencc,ipv4,185.211.36.0,22,allocated
ripencc,ipv4,185.188.236.0,22,allocated
ripencc,ipv4,185.188.188.0,22,allocated
ripencc,ipv4,185.184.28.0,22,allocated
ripencc,ipv4,185.183.232.0,22,allocated
ripencc,ipv4,185.180.136.0,22,allocated
ripencc,ipv4,185.177.8.0,22,allocated
ripencc,ipv4,185.201.236.0,22,allocated
ripencc,ipv4,185.227.168.0,22,allocated
ripencc,ipv4,185.228.212.0,22,allocated
ripencc,ipv4,185.231.176.0,22,allocated
ripencc,ipv4,188.123.116.0,22,allocated
ripencc,ipv4,188.123.112.0,22,allocated
ripencc,ipv4,188.123.96.0,20,allocated
ripencc,ipv4,188.121.160.0,19,allocated
ripencc,ipv4,188.120.0.0,19,allocated
ripencc,ipv4,188.112.64.0,18,allocated
ripencc,ipv4,185.254.248.0,22,allocated
ripencc,ipv4,185.251.120.0,22,allocated
ripencc,ipv4,185.250.244.0,22,allocated
ripencc,ipv4,185.250.12.0,22,allocated
ripencc,ipv4,185.246.60.0,22,allocated
ripencc,ipv4,185.242.188.0,22,allocated
ripencc,ipv4,185.242.56.0,22,allocated
ripencc,ipv4,185.235.200.0,22,allocated
ripencc,ipv4,185.234.248.0,22,allocated
ripencc,ipv4,185.176.72.0,22,allocated
ripencc,ipv4,195.168.0.0,19,allocated
ripencc,ipv4,178.143.0.0,16,allocated
ripencc,ipv4,178.23.88.0,21,allocated
ripencc,ipv4,81.89.48.0,20,allocated
ripencc,ipv4,81.88.128.0,20,allocated
ripencc,ipv4,80.250.240.0,20,allocated
ripencc,ipv4,80.242.32.0,20,allocated
ripencc,ipv4,80.94.48.0,20,allocated
ripencc,ipv4,80.87.208.0,20,allocated
ripencc,ipv4,81.92.248.0,21,allocated
ripencc,ipv4,80.86.240.0,20,allocated
ripencc,ipv4,78.141.64.0,18,allocated
ripencc,ipv4,78.98.0.0,15,allocated
ripencc,ipv4,78.41.168.0,21,allocated
ripencc,ipv4,77.247.224.0,21,allocated
ripencc,ipv4,77.234.224.0,19,allocated
ripencc,ipv4,77.83.104.0,22,allocated
ripencc,ipv4,80.81.224.0,20,allocated
ripencc,ipv4,62.197.192.0,18,allocated
ripencc,ipv4,82.119.96.0,19,allocated
ripencc,ipv4,83.168.128.0,18,allocated
ripencc,ipv4,88.80.224.0,19,allocated
ripencc,ipv4,87.244.192.0,18,allocated
ripencc,ipv4,87.239.56.0,21,allocated
ripencc,ipv4,87.197.0.0,16,allocated
ripencc,ipv4,86.110.224.0,19,allocated
ripencc,ipv4,85.248.0.0,16,allocated
ripencc,ipv4,82.119.224.0,20,allocated
ripencc,ipv4,85.237.224.0,19,allocated
ripencc,ipv4,85.159.104.0,21,allocated
ripencc,ipv4,85.135.128.0,17,allocated
ripencc,ipv4,84.252.116.0,22,allocated
ripencc,ipv4,84.245.64.0,18,allocated
ripencc,ipv4,84.47.0.0,17,allocated
ripencc,ipv4,84.16.32.0,19,allocated
ripencc,ipv4,85.216.128.0,17,allocated
ripencc,ipv4,62.176.160.0,19,allocated
ripencc,ipv4,62.169.160.0,19,allocated
ripencc,ipv4,62.168.64.0,18,allocated
ripencc,ipv4,45.81.40.0,23,allocated
ripencc,ipv4,45.66.72.0,22,allocated
ripencc,ipv4,45.65.116.0,22,allocated
ripencc,ipv4,45.13.138.0,23,allocated
ripencc,ipv4,45.13.137.0,24,allocated
ripencc,ipv4,37.152.96.0,19,allocated
ripencc,ipv4,45.88.8.0,22,allocated
ripencc,ipv4,37.61.160.0,20,allocated
ripencc,ipv4,37.9.168.0,21,allocated
ripencc,ipv4,31.170.64.0,19,allocated
ripencc,ipv4,31.24.176.0,21,allocated
ripencc,ipv4,31.3.32.0,19,allocated
ripencc,ipv4,5.252.32.0,22,allocated
ripencc,ipv4,5.178.48.0,20,allocated
ripencc,ipv4,37.58.0.0,20,allocated
ripencc,ipv4,45.95.64.0,22,allocated
ripencc,ipv4,45.136.132.0,22,allocated
ripencc,ipv4,45.137.164.0,22,allocated
ripencc,ipv4,62.152.224.0,19,allocated
ripencc,ipv4,62.65.160.0,19,allocated
ripencc,ipv4,46.243.64.0,21,allocated
ripencc,ipv4,46.231.96.0,21,allocated
ripencc,ipv4,46.229.224.0,20,allocated
ripencc,ipv4,46.228.208.0,20,allocated
ripencc,ipv4,46.227.176.0,21,allocated
ripencc,ipv4,46.34.224.0,19,allocated
ripencc,ipv4,46.29.0.0,21,allocated
ripencc,ipv4,46.18.144.0,21,allocated
ripencc,ipv4,45.152.96.0,22,allocated
ripencc,ipv4,45.149.176.0,22,allocated
ripencc,ipv4,45.148.140.0,22,allocated
ripencc,ipv4,45.146.244.0,22,allocated
ripencc,ipv4,45.138.184.0,22,allocated
ripencc,ipv4,88.212.0.0,18,allocated
ripencc,ipv4,178.40.0.0,15,allocated
ripencc,ipv4,89.107.144.0,21,allocated
ripencc,ipv4,90.176.0.0,19,allocated
ripencc,ipv4,109.236.112.0,20,allocated
ripencc,ipv4,109.230.0.0,18,allocated
ripencc,ipv4,109.74.144.0,20,allocated
ripencc,ipv4,109.71.64.0,21,allocated
ripencc,ipv4,95.170.224.0,19,allocated
ripencc,ipv4,95.142.112.0,20,allocated
ripencc,ipv4,134.19.136.0,21,allocated
ripencc,ipv4,95.131.128.0,21,allocated
ripencc,ipv4,95.102.0.0,15,allocated
ripencc,ipv4,94.229.32.0,20,allocated
ripencc,ipv4,94.228.80.0,20,allocated
ripencc,ipv4,94.177.20.0,24,allocated
ripencc,ipv4,94.136.128.0,19,allocated
ripencc,ipv4,94.124.144.0,21,allocated
ripencc,ipv4,95.105.128.0,17,allocated
ripencc,ipv4,93.184.64.0,20,allocated
