region,version,ip,prefixlength,state
ripencc,ipv4,194.183.64.0,19,allocated
ripencc,ipv4,77.242.208.0,20,allocated
ripencc,ipv4,89.186.32.0,19,allocated
ripencc,ipv4,109.233.80.0,21,allocated
ripencc,ipv4,109.235.104.0,21,allocated
ripencc,ipv4,185.21.116.0,22,allocated
ripencc,ipv4,185.21.132.0,24,allocated
ripencc,ipv4,185.45.40.0,22,allocated
ripencc,ipv4,185.45.68.0,22,allocated
ripencc,ipv4,185.62.32.0,22,allocated
ripencc,ipv4,185.86.60.0,22,allocated
ripencc,ipv4,185.146.128.0,22,allocated
ripencc,ipv4,185.168.168.0,22,allocated
ripencc,ipv4,192.145.48.0,22,allocated
ripencc,ipv4,45.65.80.0,22,allocated
ripencc,ipv4,31.193.32.0,21,allocated
ripencc,ipv4,91.234.215.0,24,assigned
ripencc,ipv4,94.232.112.0,21,assigned
ripencc,ipv4,194.0.27.0,24,assigned
ripencc,ipv4,91.223.220.0,24,assigned
ripencc,ipv6,2a00:55e0::,32,allocated
ripencc,ipv6,2a02:7f60::,32,allocated
ripencc,ipv6,2a03:8b00::,32,allocated
ripencc,ipv6,2a04:a340::,29,allocated
ripencc,ipv6,2a07:50c0::,29,allocated
ripencc,ipv6,2a09:2100::,29,allocated
ripencc,ipv6,2a0e:d340::,32,allocated
ripencc,ipv6,2001:678:28::,48,assigned
ripencc,ipv6,2001:67c:174::,48,assigned
ripencc,ipv6,2001:67c:15b8::,48,assigned
ripencc,ipv6,2001:67c:28d8::,48,assigned
