region,ip,prefixlength,state
lacnic,209.94.192.0,19,allocated
lacnic,201.238.124.0,22,allocated
lacnic,201.238.120.0,22,allocated
lacnic,201.238.112.0,21,allocated
lacnic,201.238.96.0,20,allocated
lacnic,201.238.64.0,19,allocated
lacnic,201.221.80.0,20,allocated
lacnic,201.221.64.0,20,allocated
lacnic,200.125.160.0,21,allocated
lacnic,200.108.16.0,20,allocated
lacnic,200.108.0.0,20,allocated
lacnic,200.12.240.0,21,allocated
lacnic,200.9.218.0,24,assigned
lacnic,200.9.216.0,23,assigned
lacnic,200.7.88.0,21,allocated
lacnic,200.3.176.0,21,allocated
lacnic,200.1.104.0,21,allocated
lacnic,196.32.32.0,19,allocated
lacnic,196.29.64.0,19,allocated
lacnic,196.3.144.0,22,allocated
lacnic,196.3.136.0,21,allocated
lacnic,196.3.132.0,22,allocated
lacnic,190.213.128.0,17,allocated
lacnic,190.213.64.0,18,allocated
lacnic,190.213.0.0,18,allocated
lacnic,190.97.96.0,20,allocated
lacnic,190.93.64.0,18,allocated
lacnic,190.93.0.0,19,allocated
lacnic,190.83.128.0,17,allocated
lacnic,190.59.0.0,16,allocated
lacnic,190.58.0.0,16,allocated
lacnic,190.6.224.0,20,allocated
lacnic,186.195.248.0,22,allocated
lacnic,186.96.208.0,20,allocated
lacnic,186.44.0.0,15,allocated
lacnic,181.188.0.0,17,allocated
lacnic,181.118.32.0,19,allocated
lacnic,179.60.212.0,22,allocated
lacnic,179.0.28.0,24,assigned
lacnic,170.246.160.0,22,allocated
lacnic,170.84.8.0,22,allocated
lacnic,170.82.216.0,22,allocated
lacnic,170.82.208.0,22,allocated
lacnic,170.0.244.0,22,allocated
lacnic,168.195.120.0,22,allocated
lacnic,161.0.224.0,19,allocated
lacnic,161.0.112.0,21,allocated
lacnic,143.137.192.0,22,allocated
lacnic,143.0.172.0,22,allocated
lacnic,138.94.240.0,22,allocated
lacnic,138.59.24.0,22,allocated
lacnic,131.221.28.0,22,allocated
lacnic,131.100.160.0,22,allocated
lacnic,131.100.36.0,22,allocated
lacnic,131.72.76.0,22,allocated
lacnic,64.28.128.0,20,assigned
lacnic,45.237.88.0,22,allocated
lacnic,45.234.164.0,22,allocated
lacnic,45.185.20.0,22,allocated
