region,ip,prefixlength,state
apnic,203.191.128.0,22,allocated
apnic,202.80.32.0,20,allocated
apnic,202.61.106.0,23,allocated
apnic,202.4.251.0,24,assigned
apnic,180.222.208.0,22,allocated
apnic,113.11.240.0,21,allocated
apnic,103.226.22.0,23,assigned
apnic,103.125.232.0,22,allocated
apnic,103.101.192.0,24,assigned
apnic,103.100.10.0,24,assigned
apnic,103.75.20.0,23,allocated
apnic,103.72.90.0,23,allocated
apnic,103.36.144.0,22,allocated
apnic,103.25.228.0,23,assigned
apnic,103.20.232.0,23,allocated
apnic,103.16.15.0,24,assigned
apnic,103.7.197.0,24,assigned
ripencc,194.127.164.0,22,allocated
