region,ip,prefixlength
apnic,103.245.36.0,22
apnic,103.213.232.0,22
apnic,103.213.229.0,24
apnic,103.213.224.0,22
apnic,103.213.216.0,21
apnic,103.213.196.0,22
apnic,103.213.36.0,22
apnic,103.213.8.0,21
apnic,103.213.4.0,22
apnic,103.212.210.0,24
apnic,103.212.184.0,22
apnic,103.212.177.0,24
apnic,103.212.172.0,22
apnic,103.212.160.0,22
apnic,103.212.152.0,22
apnic,103.211.200.0,21
apnic,103.211.196.0,24
apnic,103.211.168.0,22
apnic,103.211.160.0,22
apnic,103.211.104.0,22
apnic,103.210.250.0,24
apnic,103.210.224.0,22
apnic,103.210.221.0,24
apnic,103.210.210.0,24
apnic,103.210.209.0,24
apnic,103.210.128.0,22
apnic,103.213.252.0,22
apnic,103.214.0.0,22
apnic,103.214.40.0,24
apnic,103.214.160.0,22
apnic,103.220.232.0,22
apnic,103.220.216.0,22
apnic,103.219.224.0,22
apnic,103.219.146.0,24
apnic,103.218.184.0,22
apnic,103.218.180.0,22
apnic,103.218.104.0,22
apnic,103.217.224.0,22
apnic,103.217.144.0,22
apnic,103.217.136.0,22
apnic,103.217.107.0,24
apnic,103.217.76.0,24
apnic,103.210.68.0,22
apnic,103.217.64.0,21
apnic,103.216.99.0,24
apnic,103.215.228.0,22
apnic,103.215.184.0,22
apnic,103.215.180.0,22
apnic,103.215.152.0,22
apnic,103.215.112.0,22
apnic,103.215.92.0,22
apnic,103.215.73.0,24
apnic,103.215.60.0,22
apnic,103.214.248.0,22
apnic,103.214.224.0,22
apnic,103.214.176.0,24
apnic,103.216.134.0,24
apnic,103.221.64.0,22
apnic,103.210.52.0,22
apnic,103.209.172.0,22
apnic,103.204.0.0,22
apnic,103.203.248.0,22
apnic,103.203.240.0,21
apnic,103.203.232.0,21
apnic,103.203.204.0,22
apnic,103.203.90.0,24
apnic,103.203.68.0,22
apnic,103.202.226.0,24
apnic,103.200.204.0,22
apnic,103.200.116.0,22
apnic,103.199.140.0,22
apnic,103.199.117.0,24
apnic,103.198.211.0,24
apnic,103.198.152.0,22
apnic,103.198.129.0,24
apnic,103.198.1.0,24
apnic,103.197.252.0,22
apnic,103.197.156.0,22
apnic,103.197.104.0,22
apnic,103.197.76.0,22
apnic,103.197.50.0,24
apnic,103.196.193.0,24
apnic,103.196.184.0,22
apnic,103.196.176.0,22
apnic,103.196.164.0,22
apnic,103.204.15.0,24
apnic,103.204.28.0,22
apnic,103.204.32.0,22
apnic,103.204.40.0,21
apnic,103.209.132.0,22
apnic,103.209.94.0,24
apnic,103.209.72.0,22
apnic,103.209.60.0,22
apnic,103.209.32.0,22
apnic,103.209.10.0,24
apnic,103.208.154.0,24
apnic,103.208.88.0,22
apnic,103.208.64.0,22
apnic,103.207.103.0,24
apnic,103.207.88.0,22
apnic,103.207.60.0,22
apnic,103.209.212.0,22
apnic,103.207.17.0,24
apnic,103.206.98.0,24
apnic,103.206.29.0,24
apnic,103.206.24.0,22
apnic,103.206.16.0,22
apnic,103.205.220.0,22
apnic,103.205.185.0,24
apnic,103.205.60.0,22
apnic,103.204.176.0,22
apnic,103.204.116.0,24
apnic,103.204.92.0,22
apnic,103.204.71.0,24
apnic,103.204.48.0,22
apnic,103.206.158.0,24
apnic,103.221.236.0,22
apnic,103.222.252.0,22
apnic,103.224.16.0,22
apnic,103.239.126.0,24
apnic,103.239.88.0,22
apnic,103.239.80.0,22
apnic,103.239.64.0,22
apnic,103.239.40.0,22
apnic,103.239.20.0,22
apnic,103.239.12.0,22
apnic,103.238.232.0,22
apnic,103.238.216.0,22
apnic,103.238.152.0,22
apnic,103.238.112.0,22
apnic,103.238.64.0,22
apnic,103.237.92.0,22
apnic,103.237.84.0,22
apnic,103.237.48.0,22
apnic,103.236.224.0,22
apnic,103.236.212.0,22
apnic,103.236.172.0,22
apnic,103.236.140.0,22
apnic,103.236.128.0,22
apnic,103.236.104.0,22
apnic,103.235.180.0,22
apnic,103.235.160.0,22
apnic,103.235.65.0,24
apnic,103.234.188.0,22
apnic,103.239.148.0,22
apnic,103.239.172.0,22
apnic,103.240.0.0,21
apnic,103.240.24.0,22
apnic,103.244.216.0,22
apnic,103.244.163.0,24
apnic,103.244.49.0,24
apnic,103.244.24.0,22
apnic,103.244.20.0,22
apnic,103.243.238.0,24
apnic,103.243.232.0,22
apnic,103.243.228.0,22
apnic,103.243.179.0,24
apnic,103.243.176.0,24
apnic,103.243.168.0,22
apnic,103.243.19.0,24
apnic,103.234.152.0,22
apnic,103.243.8.0,22
apnic,103.242.86.0,24
apnic,103.242.80.0,22
apnic,103.242.76.0,22
apnic,103.242.8.0,22
apnic,103.241.192.0,21
apnic,103.241.172.0,22
apnic,103.241.149.0,24
