region,ip,prefixlength,state
ripencc,46.172.224.0,19,allocated
ripencc,46.175.156.0,22,allocated
ripencc,80.80.84.0,22,allocated
ripencc,80.80.92.0,22,allocated
ripencc,85.94.160.0,19,allocated
ripencc,89.150.2.0,23,allocated
ripencc,89.150.4.0,22,allocated
ripencc,89.150.8.0,21,allocated
ripencc,91.187.64.0,19,allocated
ripencc,94.125.138.0,23,allocated
ripencc,94.125.140.0,23,allocated
ripencc,109.111.96.0,19,allocated
ripencc,185.4.52.0,22,allocated
ripencc,185.33.0.0,22,allocated
ripencc,185.87.36.0,22,allocated
ripencc,185.87.40.0,22,allocated
ripencc,185.87.44.0,22,allocated
ripencc,185.132.200.0,22,allocated
ripencc,185.194.56.0,22,allocated
ripencc,188.241.26.0,23,allocated
ripencc,194.158.64.0,19,allocated
