region,ip,prefixlength,state
apnic,103.167.234.0,23,allocated
ripencc,5.206.232.0,21,allocated
ripencc,31.44.64.0,20,allocated
ripencc,31.22.48.0,20,allocated
ripencc,31.171.152.0,21,allocated
ripencc,31.222.40.0,21,allocated
ripencc,31.41.33.0,24,allocated
ripencc,37.26.64.0,21,allocated
ripencc,37.26.80.0,21,allocated
ripencc,37.35.64.0,21,allocated
ripencc,37.139.112.0,21,allocated
ripencc,37.252.221.0,24,allocated
ripencc,45.157.124.0,22,allocated
ripencc,45.142.24.0,22,allocated
ripencc,45.90.80.0,22,allocated
ripencc,45.84.236.0,22,allocated
ripencc,45.84.116.0,22,allocated
ripencc,45.93.220.0,22,allocated
ripencc,45.66.252.0,22,allocated
ripencc,45.10.192.0,22,allocated
ripencc,45.80.48.0,22,allocated
ripencc,46.99.0.0,16,allocated
ripencc,46.252.32.0,20,allocated
ripencc,46.255.144.0,21,allocated
ripencc,46.19.224.0,21,allocated
ripencc,46.183.120.0,21,allocated
ripencc,66.186.198.0,23,allocated
ripencc,66.186.194.0,23,allocated
ripencc,77.242.16.0,20,allocated
ripencc,77.247.88.0,21,allocated
ripencc,77.247.248.0,21,allocated
ripencc,77.83.120.0,22,allocated
ripencc,79.106.0.0,16,allocated
ripencc,79.98.112.0,21,allocated
ripencc,79.171.48.0,21,allocated
ripencc,79.174.24.0,22,allocated
ripencc,80.91.112.0,20,allocated
ripencc,80.90.80.0,20,allocated
ripencc,80.80.160.0,20,allocated
ripencc,80.78.64.0,20,allocated
ripencc,80.65.216.0,22,allocated
ripencc,81.26.200.0,21,allocated
ripencc,81.21.232.0,22,allocated
ripencc,82.114.64.0,19,allocated
ripencc,84.20.64.0,19,allocated
ripencc,84.22.32.0,19,allocated
ripencc,85.209.248.0,22,allocated
ripencc,87.238.208.0,21,allocated
ripencc,88.214.16.0,22,allocated
ripencc,91.187.96.0,19,allocated
ripencc,91.132.172.0,22,allocated
ripencc,91.210.136.0,22,assigned
ripencc,91.217.6.0,23,allocated
ripencc,91.217.72.0,23,allocated
ripencc,91.230.254.0,23,assigned
ripencc,91.239.145.0,24,allocated
ripencc,91.212.96.0,24,allocated
ripencc,91.240.165.0,24,allocated
ripencc,91.226.220.0,24,assigned
ripencc,92.60.16.0,20,allocated
ripencc,92.118.68.0,22,allocated
ripencc,92.119.236.0,22,allocated
ripencc,93.159.192.0,21,allocated
ripencc,93.93.168.0,22,allocated
ripencc,93.187.110.0,24,allocated
ripencc,94.125.112.0,21,allocated
ripencc,94.137.144.0,21,allocated
ripencc,94.154.152.0,22,allocated
ripencc,95.107.128.0,17,allocated
ripencc,95.86.56.0,22,allocated
ripencc,95.86.40.0,22,allocated
ripencc,109.236.32.0,20,allocated
ripencc,109.104.152.0,21,allocated
ripencc,109.104.128.0,21,allocated
ripencc,109.234.232.0,21,allocated
ripencc,109.69.160.0,21,allocated
ripencc,109.69.0.0,21,allocated
ripencc,109.104.136.0,22,allocated
ripencc,109.104.140.0,22,allocated
ripencc,109.104.148.0,22,allocated
ripencc,109.196.160.0,22,allocated
ripencc,109.74.28.0,22,allocated
ripencc,109.104.144.0,23,allocated
ripencc,130.0.24.0,21,allocated
ripencc,134.0.32.0,19,allocated
ripencc,139.28.24.0,22,allocated
ripencc,141.8.200.0,21,allocated
ripencc,141.98.140.0,22,allocated
ripencc,146.0.16.0,21,allocated
ripencc,147.78.160.0,22,allocated
ripencc,171.22.148.0,23,allocated
ripencc,171.22.150.0,24,allocated
ripencc,171.22.151.0,24,allocated
ripencc,178.175.0.0,17,allocated
ripencc,178.132.216.0,21,allocated
ripencc,185.30.144.0,22,allocated
ripencc,185.9.44.0,22,allocated
ripencc,185.32.20.0,22,allocated
ripencc,185.196.180.0,22,allocated
ripencc,185.145.0.0,22,allocated
ripencc,185.156.12.0,22,allocated
ripencc,185.158.0.0,22,allocated
ripencc,185.171.60.0,22,allocated
ripencc,185.171.144.0,22,allocated
ripencc,185.173.204.0,22,allocated
ripencc,185.174.208.0,22,allocated
ripencc,185.175.252.0,22,allocated
ripencc,185.177.28.0,22,allocated
ripencc,185.179.28.0,22,allocated
ripencc,185.132.92.0,22,allocated
ripencc,185.233.124.0,22,allocated
ripencc,185.186.80.0,22,allocated
ripencc,185.187.0.0,22,allocated
ripencc,185.188.216.0,22,allocated
ripencc,185.224.100.0,22,allocated
ripencc,185.221.252.0,22,allocated
ripencc,185.190.132.0,22,allocated
ripencc,185.191.164.0,22,allocated
ripencc,185.200.212.0,22,allocated
ripencc,185.200.248.0,22,allocated
ripencc,185.204.32.0,22,allocated
ripencc,185.226.88.0,22,allocated
ripencc,185.205.168.0,22,allocated
ripencc,185.122.228.0,22,allocated
ripencc,185.120.36.0,22,allocated
ripencc,185.33.32.0,22,allocated
ripencc,185.38.192.0,22,allocated
ripencc,185.47.188.0,22,allocated
ripencc,185.239.8.0,22,allocated
ripencc,185.237.16.0,22,allocated
ripencc,185.50.180.0,22,allocated
ripencc,185.53.100.0,22,allocated
ripencc,185.55.44.0,22,allocated
ripencc,185.62.172.0,22,allocated
ripencc,185.55.148.0,22,allocated
ripencc,185.66.128.0,22,allocated
ripencc,185.67.176.0,22,allocated
ripencc,185.71.180.0,22,allocated
ripencc,185.78.224.0,22,allocated
ripencc,185.80.224.0,22,allocated
ripencc,185.85.152.0,22,allocated
ripencc,185.89.156.0,22,allocated
ripencc,185.114.112.0,22,allocated
ripencc,185.118.148.0,22,allocated
ripencc,185.63.176.0,22,allocated
ripencc,185.212.188.0,22,allocated
ripencc,185.49.24.0,23,allocated
ripencc,185.254.116.0,23,allocated
ripencc,185.234.253.0,24,allocated
ripencc,185.216.15.0,24,allocated
ripencc,185.16.250.0,24,allocated
ripencc,185.190.90.0,24,allocated
ripencc,185.49.26.0,24,allocated
ripencc,185.49.27.0,24,allocated
ripencc,185.120.181.0,24,allocated
ripencc,185.23.110.0,24,allocated
ripencc,185.184.217.0,24,allocated
ripencc,185.190.38.0,24,allocated
ripencc,185.182.158.0,24,allocated
ripencc,185.1.100.0,24,assigned
ripencc,185.1.73.0,24,assigned
ripencc,188.172.96.0,20,allocated
ripencc,188.164.216.0,21,allocated
ripencc,188.93.112.0,24,allocated
ripencc,192.109.210.0,24,allocated
ripencc,192.109.217.0,24,allocated
ripencc,192.109.219.0,24,allocated
ripencc,192.109.220.0,24,allocated
ripencc,193.187.100.0,22,allocated
ripencc,193.254.1.0,23,assigned
ripencc,193.107.12.0,24,allocated
ripencc,193.163.116.0,24,allocated
ripencc,193.163.187.0,24,allocated
ripencc,193.163.91.0,24,allocated
ripencc,194.35.248.0,22,allocated
ripencc,194.156.252.0,22,allocated
ripencc,194.113.80.0,23,allocated
ripencc,194.113.94.0,23,allocated
ripencc,194.169.164.0,23,allocated
ripencc,194.5.252.0,24,allocated
ripencc,194.169.166.0,24,allocated
ripencc,194.5.235.0,24,allocated
ripencc,194.150.78.0,24,allocated
ripencc,194.169.167.0,24,allocated
ripencc,194.1.149.0,24,assigned
ripencc,195.200.234.0,24,allocated
ripencc,213.163.96.0,19,allocated
ripencc,213.207.32.0,19,allocated
ripencc,217.21.144.0,20,allocated
ripencc,217.24.240.0,20,allocated
ripencc,217.73.128.0,20,allocated
