region,ip,prefixlength,state
lacnic,152.206.0.0,15,allocated
lacnic,169.158.0.0,16,assigned
lacnic,181.225.224.0,19,allocated
lacnic,190.6.64.0,20,allocated
lacnic,190.6.80.0,20,allocated
lacnic,190.15.144.0,20,allocated
lacnic,190.92.112.0,20,allocated
lacnic,190.107.0.0,20,allocated
lacnic,196.1.112.0,24,assigned
lacnic,196.1.135.0,24,assigned
lacnic,196.3.152.0,24,assigned
lacnic,200.0.16.0,24,assigned
lacnic,200.0.24.0,22,assigned
lacnic,200.5.12.0,22,assigned
lacnic,200.13.144.0,21,allocated
lacnic,200.14.48.0,21,allocated
lacnic,200.55.128.0,19,allocated
lacnic,200.55.160.0,20,allocated
lacnic,200.55.176.0,20,allocated
lacnic,201.220.192.0,20,allocated
lacnic,201.220.208.0,20,allocated
