region,version,ip,prefixlength,state
afrinic,ipv4,41.74.128.0,20,allocated
afrinic,ipv4,41.215.208.0,20,allocated
afrinic,ipv4,41.221.192.0,20,allocated
afrinic,ipv4,41.79.124.0,22,allocated
afrinic,ipv4,102.220.164.0,22,allocated
afrinic,ipv4,102.222.140.0,22,allocated
afrinic,ipv4,102.219.86.0,23,allocated
afrinic,ipv4,102.214.188.0,24,assigned
afrinic,ipv4,102.69.151.0,24,assigned
afrinic,ipv4,102.216.132.0,24,assigned
afrinic,ipv4,165.90.96.0,19,allocated
afrinic,ipv4,169.239.12.0,22,allocated
afrinic,ipv4,196.49.96.0,24,assigned
afrinic,ipv4,196.60.112.0,24,assigned
afrinic,ipv4,197.255.128.0,20,allocated
afrinic,ipv4,213.150.192.0,21,allocated
afrinic,ipv6,2c0f:f420::,32,allocated
afrinic,ipv6,2c0f:f438::,32,allocated
afrinic,ipv6,2c0f:f498::,32,allocated
afrinic,ipv6,2001:43f8:16c0::,48,assigned
afrinic,ipv6,2001:43f8:16c1::,48,assigned
afrinic,ipv6,2001:43fc:1000::,48,assigned
