region,ip,prefixlength,state
afrinic,41.96.0.0,12,allocated
afrinic,41.200.0.0,15,allocated
afrinic,41.220.144.0,20,allocated
afrinic,41.221.16.0,20,allocated
afrinic,41.223.236.0,22,allocated
afrinic,80.246.0.0,20,allocated
afrinic,80.249.64.0,20,allocated
afrinic,80.88.12.0,22,allocated
afrinic,102.213.56.0,22,allocated
afrinic,102.218.188.0,22,allocated
afrinic,102.220.28.0,22,allocated
afrinic,105.96.0.0,12,allocated
afrinic,105.235.128.0,20,allocated
afrinic,129.45.0.0,17,allocated
afrinic,154.240.0.0,12,allocated
afrinic,154.121.0.0,16,allocated
afrinic,154.73.92.0,22,allocated
afrinic,168.253.96.0,20,allocated
afrinic,192.52.232.0,24,assigned
afrinic,192.245.148.0,24,assigned
afrinic,193.194.64.0,19,allocated
afrinic,193.41.146.0,23,assigned
afrinic,195.24.80.0,21,assigned
afrinic,195.39.218.0,23,assigned
afrinic,196.20.64.0,18,allocated
afrinic,196.41.224.0,19,allocated
afrinic,196.29.40.0,22,allocated
afrinic,197.112.0.0,13,allocated
afrinic,197.200.0.0,13,allocated
afrinic,197.140.0.0,14,allocated
afrinic,213.179.160.0,19,allocated
