region,ip,prefixlength,state
apnic,27.123.128.0,18,allocated
apnic,45.112.224.0,22,allocated
apnic,45.117.240.0,22,allocated
apnic,45.117.244.0,22,allocated
apnic,103.1.180.0,22,allocated
apnic,103.52.88.0,22,allocated
apnic,103.58.20.0,22,allocated
apnic,103.71.204.0,24,assigned
apnic,103.76.157.0,24,assigned
apnic,103.77.225.0,24,assigned
apnic,103.99.43.0,24,assigned
apnic,103.101.240.0,22,allocated
apnic,103.116.156.0,24,assigned
apnic,103.137.129.0,24,assigned
apnic,103.147.194.0,23,assigned
apnic,103.148.54.0,23,allocated
apnic,103.178.195.0,24,assigned
apnic,103.244.228.0,22,allocated
apnic,110.35.88.0,21,allocated
apnic,113.20.64.0,19,allocated
apnic,119.235.64.0,19,allocated
apnic,119.235.96.0,21,allocated
apnic,124.108.24.0,21,allocated
apnic,144.120.0.0,16,allocated
apnic,183.81.128.0,20,allocated
apnic,202.62.6.0,23,allocated
apnic,202.62.118.0,23,allocated
apnic,202.62.120.0,22,allocated
apnic,202.62.124.0,22,allocated
apnic,202.129.228.0,22,allocated
apnic,202.137.176.0,21,allocated
apnic,202.151.16.0,20,allocated
apnic,202.170.32.0,20,allocated
apnic,203.83.251.0,24,assigned
apnic,203.119.51.0,24,assigned
apnic,203.202.235.0,24,assigned
apnic,210.7.0.0,19,allocated
