region,ip,prefixlength,state
afrinic,41.76.8.0,21,allocated
afrinic,41.223.212.0,22,allocated
afrinic,102.140.128.0,19,allocated
afrinic,102.69.160.0,22,allocated
afrinic,102.213.220.0,22,allocated
afrinic,102.216.248.0,22,allocated
afrinic,102.221.64.0,22,allocated
afrinic,146.196.128.0,17,allocated
afrinic,155.251.0.0,16,allocated
afrinic,160.182.0.0,15,allocated
afrinic,196.46.232.0,21,allocated
afrinic,196.223.144.0,21,allocated
afrinic,196.49.1.0,24,assigned
afrinic,196.223.34.0,24,assigned
afrinic,197.242.128.0,20,allocated
afrinic,197.255.192.0,20,allocated
afrinic,197.148.72.0,21,allocated
afrinic,197.231.128.0,21,allocated
afrinic,197.231.204.0,22,allocated
afrinic,212.60.64.0,19,allocated
