region,ip,prefixlength,state
ripencc,2.84.0.0,14,allocated
ripencc,5.54.0.0,15,allocated
ripencc,5.203.0.0,16,allocated
ripencc,5.144.192.0,18,allocated
ripencc,5.172.192.0,20,allocated
ripencc,31.152.0.0,16,allocated
ripencc,31.217.160.0,19,allocated
ripencc,31.14.208.0,21,allocated
ripencc,31.14.240.0,21,allocated
ripencc,31.22.112.0,21,allocated
ripencc,31.177.56.0,21,allocated
ripencc,31.186.104.0,21,allocated
ripencc,31.14.168.0,21,allocated
ripencc,37.6.0.0,16,allocated
ripencc,37.32.128.0,17,allocated
ripencc,37.153.160.0,21,allocated
ripencc,37.99.192.0,21,allocated
ripencc,37.153.144.0,21,allocated
ripencc,45.56.224.0,19,allocated
ripencc,45.66.40.0,22,allocated
ripencc,45.66.124.0,22,allocated
ripencc,45.66.184.0,22,allocated
ripencc,45.83.44.0,22,allocated
ripencc,45.139.212.0,22,allocated
ripencc,45.153.180.0,22,allocated
ripencc,45.159.24.0,22,allocated
ripencc,45.159.232.0,22,allocated
ripencc,46.176.0.0,15,allocated
ripencc,46.12.0.0,16,allocated
ripencc,46.103.0.0,16,allocated
ripencc,46.246.128.0,17,allocated
ripencc,46.190.0.0,17,allocated
ripencc,46.198.128.0,17,allocated
ripencc,46.226.192.0,21,allocated
ripencc,46.183.16.0,21,allocated
ripencc,46.227.56.0,21,allocated
ripencc,46.245.136.0,21,allocated
ripencc,62.1.0.0,16,allocated
ripencc,62.38.0.0,16,allocated
ripencc,62.74.0.0,16,allocated
ripencc,62.103.0.0,16,allocated
ripencc,62.75.0.0,17,allocated
ripencc,62.169.192.0,18,allocated
ripencc,62.217.64.0,18,allocated
ripencc,62.192.64.0,19,allocated
ripencc,62.205.32.0,19,allocated
ripencc,72.46.154.0,23,allocated
ripencc,77.49.0.0,16,allocated
ripencc,77.69.0.0,17,allocated
ripencc,78.87.0.0,16,allocated
ripencc,78.108.32.0,20,allocated
ripencc,79.128.0.0,14,allocated
ripencc,79.166.0.0,15,allocated
ripencc,79.103.0.0,16,allocated
ripencc,79.107.0.0,16,allocated
ripencc,80.106.0.0,15,allocated
ripencc,80.245.160.0,20,allocated
ripencc,81.186.0.0,16,assigned
ripencc,81.92.48.0,20,allocated
ripencc,83.235.0.0,16,allocated
ripencc,83.212.0.0,16,allocated
ripencc,83.174.152.0,21,allocated
ripencc,83.174.148.0,22,allocated
ripencc,83.97.37.0,24,assigned
ripencc,84.254.0.0,18,allocated
ripencc,84.205.224.0,19,assigned
ripencc,84.205.192.0,19,assigned
ripencc,85.72.0.0,14,allocated
ripencc,85.204.64.0,22,allocated
ripencc,85.209.236.0,22,allocated
ripencc,86.105.248.0,22,allocated
ripencc,86.105.200.0,22,allocated
ripencc,86.105.188.0,22,allocated
ripencc,86.104.120.0,22,allocated
ripencc,86.104.68.0,22,allocated
ripencc,87.202.0.0,15,allocated
ripencc,87.239.232.0,21,assigned
ripencc,88.197.0.0,17,assigned
ripencc,89.210.0.0,16,allocated
ripencc,89.31.176.0,21,allocated
ripencc,89.32.208.0,21,allocated
ripencc,89.47.44.0,22,allocated
ripencc,89.46.252.0,22,allocated
ripencc,89.44.92.0,22,allocated
ripencc,89.44.216.0,22,allocated
ripencc,89.44.156.0,22,allocated
ripencc,89.44.96.0,22,allocated
ripencc,89.44.72.0,22,allocated
ripencc,89.43.184.0,22,allocated
ripencc,89.43.56.0,22,allocated
ripencc,89.45.120.0,22,allocated
ripencc,89.44.220.0,22,allocated
ripencc,89.38.105.0,24,allocated
ripencc,91.138.128.0,17,allocated
ripencc,91.140.0.0,17,allocated
ripencc,91.132.16.0,22,allocated
ripencc,91.193.60.0,22,allocated
ripencc,91.234.84.0,22,assigned
ripencc,91.210.208.0,22,assigned
ripencc,91.200.20.0,22,assigned
ripencc,91.241.94.0,23,assigned
ripencc,91.206.190.0,23,assigned
ripencc,91.207.236.0,23,assigned
ripencc,91.211.24.0,23,assigned
ripencc,91.195.152.0,23,assigned
ripencc,91.220.184.0,24,allocated
ripencc,91.220.176.0,24,allocated
ripencc,91.220.171.0,24,allocated
ripencc,91.220.131.0,24,allocated
ripencc,91.213.228.0,24,assigned
ripencc,91.216.180.0,24,assigned
ripencc,91.213.52.0,24,assigned
ripencc,91.216.76.0,24,assigned
ripencc,91.216.206.0,24,assigned
ripencc,91.209.47.0,24,assigned
ripencc,91.208.57.0,24,assigned
ripencc,91.199.96.0,24,assigned
ripencc,91.199.7.0,24,assigned
ripencc,91.198.183.0,24,assigned
ripencc,91.209.173.0,24,assigned
ripencc,91.217.243.0,24,assigned
ripencc,91.217.155.0,24,assigned
ripencc,91.220.208.0,24,assigned
ripencc,91.220.108.0,24,assigned
ripencc,91.220.236.0,24,assigned
ripencc,91.223.42.0,24,assigned
ripencc,91.223.104.0,24,assigned
ripencc,91.227.108.0,24,assigned
ripencc,91.245.195.0,24,assigned
ripencc,93.174.120.0,21,allocated
ripencc,93.113.120.0,22,allocated
ripencc,93.113.216.0,22,allocated
ripencc,93.114.196.0,22,allocated
ripencc,94.64.0.0,13,allocated
ripencc,94.143.176.0,21,allocated
ripencc,94.232.80.0,21,assigned
ripencc,94.154.134.0,23,allocated
ripencc,94.154.132.0,23,allocated
ripencc,94.231.194.0,24,allocated
ripencc,95.129.40.0,21,allocated
ripencc,109.242.0.0,16,allocated
ripencc,109.178.0.0,16,allocated
ripencc,109.68.144.0,21,allocated
ripencc,109.107.139.0,24,allocated
ripencc,128.140.152.0,21,allocated
ripencc,130.43.0.0,17,allocated
ripencc,139.91.0.0,16,assigned
ripencc,141.237.0.0,16,allocated
ripencc,141.255.0.0,17,allocated
ripencc,143.233.0.0,16,assigned
ripencc,144.24.0.0,16,assigned
ripencc,146.124.0.0,16,assigned
ripencc,146.19.17.0,24,allocated
ripencc,147.102.0.0,16,assigned
ripencc,147.95.0.0,16,assigned
ripencc,147.52.0.0,16,assigned
ripencc,147.27.0.0,16,assigned
ripencc,147.189.216.0,21,assigned
ripencc,149.210.0.0,17,allocated
ripencc,150.140.128.0,17,assigned
ripencc,150.140.0.0,17,assigned
ripencc,152.89.116.0,22,allocated
ripencc,155.207.0.0,16,assigned
ripencc,160.40.0.0,16,assigned
ripencc,172.93.4.0,23,allocated
ripencc,176.58.128.0,17,allocated
ripencc,176.92.0.0,18,allocated
ripencc,176.92.128.0,18,allocated
ripencc,176.92.64.0,19,allocated
ripencc,176.92.96.0,19,allocated
ripencc,176.92.192.0,21,allocated
ripencc,176.113.46.0,24,allocated
ripencc,176.119.209.0,24,allocated
ripencc,176.119.210.0,24,allocated
ripencc,176.126.38.0,24,assigned
ripencc,178.146.0.0,15,allocated
ripencc,178.59.0.0,16,allocated
ripencc,178.20.120.0,21,allocated
ripencc,178.21.168.0,21,allocated
ripencc,178.23.72.0,21,allocated
ripencc,178.239.24.0,22,allocated
ripencc,178.217.234.0,24,allocated
ripencc,185.106.16.0,22,allocated
ripencc,185.23.88.0,22,allocated
ripencc,185.104.144.0,22,allocated
ripencc,185.104.0.0,22,allocated
ripencc,185.105.248.0,22,allocated
ripencc,185.106.36.0,22,allocated
ripencc,185.138.40.0,22,allocated
ripencc,185.29.24.0,22,allocated
ripencc,185.25.20.0,22,allocated
ripencc,185.23.168.0,22,allocated
ripencc,185.134.112.0,22,allocated
ripencc,185.98.132.0,22,allocated
ripencc,185.145.164.0,22,allocated
ripencc,185.109.16.0,22,allocated
ripencc,185.44.144.0,22,allocated
ripencc,185.83.72.0,22,allocated
ripencc,185.96.32.0,22,allocated
ripencc,185.90.44.0,22,allocated
ripencc,185.32.228.0,22,allocated
ripencc,185.88.20.0,22,allocated
ripencc,185.84.124.0,22,allocated
ripencc,185.81.196.0,22,allocated
ripencc,185.79.188.0,22,allocated
ripencc,185.78.220.0,22,allocated
ripencc,185.77.36.0,22,allocated
ripencc,185.73.40.0,22,allocated
ripencc,185.70.76.0,22,allocated
ripencc,185.55.28.0,22,allocated
ripencc,185.51.132.0,22,allocated
ripencc,185.98.100.0,22,allocated
ripencc,185.156.60.0,22,allocated
ripencc,185.4.236.0,22,allocated
ripencc,185.162.236.0,22,allocated
ripencc,185.42.208.0,22,allocated
ripencc,185.3.220.0,22,allocated
ripencc,185.4.88.0,22,allocated
ripencc,185.4.132.0,22,allocated
ripencc,185.5.76.0,22,allocated
ripencc,185.6.76.0,22,allocated
ripencc,185.254.216.0,22,allocated
ripencc,185.247.160.0,22,allocated
ripencc,185.246.164.0,22,allocated
ripencc,185.14.200.0,22,allocated
ripencc,185.16.164.0,22,allocated
ripencc,185.232.240.0,22,allocated
ripencc,185.226.64.0,22,allocated
ripencc,185.158.220.0,22,allocated
ripencc,185.220.16.0,22,allocated
ripencc,185.212.180.0,22,allocated
ripencc,185.168.36.0,22,allocated
ripencc,185.174.56.0,22,allocated
ripencc,185.178.176.0,22,allocated
ripencc,185.180.36.0,22,allocated
ripencc,185.181.28.0,22,allocated
ripencc,185.183.184.0,22,allocated
ripencc,185.36.232.0,22,allocated
ripencc,185.185.156.0,22,allocated
ripencc,185.186.84.0,22,allocated
ripencc,185.201.20.0,22,allocated
ripencc,185.201.56.0,22,allocated
ripencc,185.19.44.0,22,allocated
ripencc,185.205.96.0,22,allocated
ripencc,185.216.138.0,23,allocated
ripencc,185.117.32.0,23,allocated
ripencc,185.14.96.0,24,allocated
ripencc,185.214.64.0,24,allocated
ripencc,185.117.34.0,24,allocated
ripencc,185.243.2.0,24,allocated
ripencc,185.236.140.0,24,allocated
ripencc,185.201.254.0,24,allocated
ripencc,185.89.96.0,24,allocated
ripencc,185.118.125.0,24,allocated
ripencc,185.117.35.0,24,allocated
ripencc,185.149.121.0,24,allocated
ripencc,185.1.123.0,24,assigned
ripencc,185.1.29.0,24,assigned
ripencc,185.1.172.0,24,assigned
ripencc,188.4.0.0,16,allocated
ripencc,188.73.192.0,18,allocated
ripencc,188.164.200.0,21,allocated
ripencc,188.214.127.0,24,allocated
ripencc,192.67.249.0,24,assigned
ripencc,192.92.155.0,24,assigned
ripencc,192.92.156.0,24,assigned
ripencc,192.104.147.0,24,assigned
ripencc,192.94.68.0,24,assigned
ripencc,192.103.20.0,24,assigned
ripencc,192.107.177.0,24,assigned
ripencc,192.135.166.0,24,assigned
ripencc,192.94.67.0,24,assigned
ripencc,192.108.114.0,24,assigned
ripencc,193.92.0.0,16,allocated
ripencc,193.218.44.0,19,assigned
ripencc,193.218.223.0,19,assigned
ripencc,193.242.240.0,20,assigned
ripencc,193.218.106.0,21,assigned
ripencc,193.218.84.0,21,assigned
ripencc,193.218.74.0,21,assigned
ripencc,193.5.16.0,22,allocated
ripencc,193.186.200.0,22,allocated
ripencc,193.238.112.0,22,assigned
ripencc,193.106.252.0,22,assigned
ripencc,193.218.1.0,22,assigned
ripencc,193.93.164.0,22,assigned
ripencc,193.218.124.0,23,assigned
ripencc,193.254.200.0,23,assigned
ripencc,193.218.5.0,23,assigned
ripencc,193.239.214.0,23,assigned
ripencc,193.218.96.0,23,assigned
ripencc,193.218.41.0,23,assigned
ripencc,193.34.176.0,23,assigned
ripencc,193.254.222.0,23,assigned
ripencc,193.41.150.0,23,assigned
ripencc,193.108.160.0,23,assigned
ripencc,193.58.70.0,23,assigned
ripencc,193.150.172.0,23,assigned
ripencc,193.164.226.0,23,assigned
ripencc,193.193.184.0,23,assigned
ripencc,193.201.22.0,23,assigned
ripencc,193.218.80.0,23,assigned
ripencc,193.163.12.0,24,allocated
ripencc,193.162.7.0,24,allocated
ripencc,193.38.152.0,24,allocated
ripencc,193.57.35.0,24,allocated
ripencc,193.105.42.0,24,assigned
ripencc,193.105.80.0,24,assigned
ripencc,193.218.72.0,24,assigned
ripencc,193.218.187.0,24,assigned
ripencc,193.218.112.0,24,assigned
ripencc,193.105.109.0,24,assigned
ripencc,193.218.36.0,24,assigned
ripencc,193.110.86.0,24,assigned
ripencc,193.104.200.0,24,assigned
ripencc,193.201.166.0,24,assigned
ripencc,193.105.85.0,24,assigned
