region,ip,prefixlength,state
lacnic,24.152.52.0,22,allocated
lacnic,45.233.64.0,22,allocated
lacnic,45.229.128.0,22,allocated
lacnic,45.229.40.0,22,allocated
lacnic,45.228.232.0,22,allocated
lacnic,45.226.176.0,22,allocated
lacnic,45.191.244.0,22,allocated
lacnic,45.188.0.0,22,allocated
lacnic,45.186.104.0,22,allocated
lacnic,45.4.128.0,22,allocated
lacnic,45.173.216.0,22,allocated
lacnic,45.171.64.0,22,allocated
lacnic,45.166.240.0,22,allocated
lacnic,45.164.148.0,22,allocated
lacnic,45.5.116.0,22,allocated
lacnic,45.68.4.0,22,assigned
lacnic,45.183.220.0,23,allocated
lacnic,45.188.58.0,24,allocated
lacnic,45.165.152.0,24,allocated
lacnic,45.181.43.0,24,allocated
lacnic,45.179.198.0,24,assigned
lacnic,138.118.104.0,22,allocated
lacnic,138.117.228.0,22,allocated
lacnic,138.94.252.0,22,allocated
lacnic,138.94.144.0,22,allocated
lacnic,138.117.140.0,22,allocated
lacnic,143.208.56.0,22,allocated
lacnic,143.208.180.0,22,allocated
lacnic,167.250.220.0,22,allocated
lacnic,168.234.0.0,16,assigned
lacnic,168.194.72.0,22,allocated
lacnic,168.227.128.0,22,allocated
lacnic,168.232.76.0,22,allocated
lacnic,170.239.56.0,22,allocated
lacnic,170.150.28.0,22,allocated
lacnic,170.80.20.0,22,allocated
lacnic,179.60.224.0,22,allocated
lacnic,179.0.192.0,24,assigned
lacnic,181.209.128.0,17,allocated
lacnic,181.174.64.0,18,allocated
lacnic,181.114.0.0,19,allocated
lacnic,181.189.144.0,20,allocated
lacnic,181.189.128.0,22,allocated
lacnic,181.189.132.0,22,allocated
lacnic,181.189.136.0,22,allocated
lacnic,181.189.140.0,22,allocated
lacnic,181.233.62.0,23,allocated
lacnic,181.189.27.0,24,allocated
lacnic,186.151.128.0,17,allocated
lacnic,186.151.0.0,18,allocated
lacnic,186.189.192.0,19,allocated
lacnic,186.151.96.0,19,allocated
lacnic,186.151.64.0,20,allocated
lacnic,186.151.80.0,21,allocated
lacnic,186.64.104.0,21,allocated
lacnic,186.151.88.0,22,allocated
lacnic,186.151.92.0,23,allocated
lacnic,186.151.95.0,24,allocated
lacnic,190.56.128.0,17,allocated
lacnic,190.56.0.0,17,allocated
lacnic,190.148.128.0,17,allocated
lacnic,190.149.0.0,17,allocated
lacnic,190.148.0.0,18,allocated
lacnic,190.149.192.0,18,allocated
lacnic,190.143.128.0,18,allocated
lacnic,190.0.192.0,19,allocated
lacnic,190.4.0.0,19,allocated
lacnic,190.4.32.0,19,allocated
lacnic,190.106.192.0,19,allocated
lacnic,190.148.96.0,19,allocated
lacnic,190.149.160.0,19,allocated
lacnic,190.143.192.0,19,allocated
lacnic,190.111.0.0,19,allocated
lacnic,190.104.112.0,20,allocated
lacnic,190.115.0.0,20,allocated
lacnic,190.14.128.0,20,allocated
lacnic,190.14.0.0,20,allocated
lacnic,190.121.192.0,20,allocated
lacnic,190.143.224.0,20,allocated
lacnic,190.148.64.0,20,allocated
lacnic,190.149.144.0,21,allocated
lacnic,190.149.136.0,21,allocated
lacnic,190.148.88.0,21,allocated
lacnic,190.151.128.0,22,allocated
lacnic,190.99.116.0,22,allocated
lacnic,190.149.156.0,22,allocated
lacnic,190.83.8.0,22,allocated
lacnic,190.113.88.0,22,allocated
lacnic,190.148.80.0,22,allocated
lacnic,190.122.184.0,22,allocated
lacnic,190.149.128.0,22,allocated
lacnic,190.148.86.0,23,allocated
lacnic,190.149.154.0,23,allocated
lacnic,190.149.132.0,23,allocated
lacnic,190.149.135.0,24,allocated
lacnic,190.148.84.0,24,allocated
lacnic,190.149.153.0,24,allocated
lacnic,190.89.32.0,24,assigned
lacnic,191.98.192.0,22,allocated
lacnic,192.150.126.0,24,assigned
lacnic,192.207.183.0,24,assigned
lacnic,200.6.224.0,19,allocated
lacnic,200.30.128.0,19,allocated
lacnic,200.12.32.0,19,allocated
lacnic,200.6.192.0,19,allocated
lacnic,200.35.176.0,20,allocated
lacnic,200.119.128.0,20,allocated
lacnic,200.119.160.0,20,allocated
lacnic,200.30.160.0,20,allocated
lacnic,200.30.176.0,20,allocated
lacnic,200.35.160.0,20,allocated
lacnic,200.49.160.0,20,allocated
lacnic,200.49.176.0,20,allocated
lacnic,200.119.176.0,21,allocated
lacnic,200.114.112.0,21,allocated
lacnic,200.115.120.0,22,allocated
lacnic,200.94.248.0,22,allocated
lacnic,200.119.144.0,22,allocated
lacnic,200.119.156.0,22,allocated
lacnic,200.119.154.0,23,allocated
lacnic,200.119.148.0,23,allocated
lacnic,200.0.176.0,23,assigned
lacnic,200.124.127.0,24,allocated
lacnic,200.119.150.0,24,allocated
lacnic,200.9.74.0,24,assigned
lacnic,200.1.153.0,24,assigned
lacnic,200.10.241.0,24,assigned
lacnic,200.10.173.0,24,assigned
lacnic,200.9.255.0,24,assigned
lacnic,200.3.146.0,24,assigned
lacnic,201.216.128.0,19,allocated
lacnic,201.216.160.0,19,allocated
lacnic,201.159.112.0,22,allocated
lacnic,201.222.60.0,22,allocated
lacnic,201.131.73.0,24,assigned
lacnic,207.248.101.0,24,assigned
lacnic,213.173.52.0,22,allocated
lacnic,216.230.128.0,19,allocated
