region,ip,prefixlength,state
ripencc,5.57.8.0,21,allocated
ripencc,31.29.0.0,19,allocated
ripencc,31.186.48.0,21,allocated
ripencc,31.192.248.0,21,allocated
ripencc,37.218.128.0,18,allocated
ripencc,46.226.208.0,21,allocated
ripencc,46.235.72.0,22,allocated
ripencc,46.251.192.0,19,allocated
ripencc,77.95.56.0,21,allocated
ripencc,77.235.0.0,19,allocated
ripencc,80.72.176.0,20,allocated
ripencc,81.20.16.0,20,allocated
ripencc,81.88.192.0,20,allocated
ripencc,85.113.0.0,19,allocated
ripencc,89.237.192.0,18,allocated
ripencc,91.192.64.0,22,assigned
ripencc,91.205.48.0,22,assigned
ripencc,91.207.28.0,23,assigned
ripencc,91.213.233.0,24,assigned
ripencc,91.229.224.0,23,assigned
ripencc,91.247.56.0,22,assigned
ripencc,91.247.60.0,22,assigned
ripencc,92.62.64.0,20,allocated
ripencc,92.245.96.0,19,allocated
ripencc,93.157.224.0,21,assigned
ripencc,94.143.192.0,21,allocated
ripencc,95.87.64.0,21,allocated
ripencc,95.87.72.0,21,allocated
ripencc,95.87.80.0,20,allocated
ripencc,95.215.244.0,22,assigned
ripencc,109.71.224.0,21,allocated
ripencc,109.201.160.0,19,allocated
ripencc,139.28.28.0,22,allocated
ripencc,146.19.220.0,24,allocated
ripencc,158.181.0.0,19,allocated
ripencc,158.181.128.0,17,allocated
ripencc,176.123.224.0,19,assigned
ripencc,176.126.164.0,22,assigned
ripencc,178.216.208.0,21,assigned
ripencc,178.217.168.0,21,assigned
ripencc,185.1.110.0,24,assigned
ripencc,185.1.151.0,24,assigned
ripencc,185.20.120.0,22,allocated
ripencc,185.29.184.0,22,allocated
ripencc,185.39.79.0,24,allocated
ripencc,185.48.136.0,22,allocated
ripencc,185.53.228.0,22,allocated
ripencc,185.54.252.0,22,allocated
ripencc,185.66.252.0,22,allocated
ripencc,185.88.32.0,22,allocated
ripencc,185.117.148.0,22,allocated
ripencc,185.138.100.0,22,allocated
ripencc,185.138.184.0,22,allocated
ripencc,185.157.136.0,22,allocated
ripencc,185.161.48.0,22,allocated
ripencc,185.211.228.0,22,allocated
ripencc,185.229.36.0,22,allocated
ripencc,188.244.124.0,24,allocated
ripencc,193.34.225.0,24,allocated
ripencc,193.106.48.0,22,assigned
ripencc,193.151.226.0,24,assigned
ripencc,193.176.239.0,24,allocated
ripencc,194.152.36.0,23,assigned
ripencc,194.176.111.0,24,assigned
ripencc,195.38.160.0,19,allocated
ripencc,195.54.180.0,23,assigned
ripencc,195.114.240.0,20,allocated
ripencc,195.216.237.0,24,assigned
ripencc,212.2.224.0,21,allocated
ripencc,212.2.232.0,22,allocated
ripencc,212.42.96.0,19,allocated
ripencc,212.97.0.0,19,allocated
ripencc,212.112.96.0,19,allocated
ripencc,212.241.0.0,19,allocated
ripencc,213.109.64.0,21,assigned
ripencc,213.145.128.0,19,allocated
ripencc,213.232.200.0,24,allocated
ripencc,217.29.16.0,20,allocated
