region,ip,prefixlength,state
arin,23.188.0.0,24,allocated
arin,63.136.112.0,21,allocated
arin,74.222.64.0,19,allocated
arin,74.117.216.0,21,allocated
arin,76.76.15.0,24,allocated
arin,138.43.248.0,22,allocated
arin,138.43.115.0,24,allocated
arin,149.112.19.0,24,allocated
arin,161.199.132.0,22,allocated
arin,162.249.128.0,21,allocated
arin,162.211.136.0,22,allocated
arin,162.247.220.0,22,allocated
arin,173.225.208.0,20,allocated
arin,192.0.4.0,22,allocated
arin,192.160.250.0,24,allocated
arin,199.201.84.0,22,allocated
arin,208.168.224.0,19,allocated
arin,208.157.144.0,21,allocated
arin,208.82.216.0,22,allocated
arin,209.27.52.0,22,allocated
arin,209.27.60.0,22,allocated
arin,216.144.80.0,20,allocated
ripencc,45.145.36.0,22,allocated
ripencc,157.207.32.0,22,assigned
