region,ip,prefixlength,state
afrinic,41.57.80.0,20,allocated
afrinic,41.86.0.0,19,allocated
afrinic,41.191.104.0,22,allocated
afrinic,102.22.224.0,21,assigned
afrinic,102.36.184.0,22,allocated
afrinic,102.214.136.0,22,allocated
afrinic,102.215.52.0,22,allocated
afrinic,154.65.24.0,22,allocated
afrinic,164.160.8.0,22,allocated
afrinic,168.253.0.0,19,allocated
afrinic,196.49.16.0,24,assigned
afrinic,196.223.44.0,24,assigned
afrinic,196.250.176.0,20,allocated
afrinic,197.215.216.0,22,allocated
afrinic,197.231.152.0,21,allocated
afrinic,197.231.220.0,22,allocated
