region,ip,prefixlength,state
afrinic,2001:4238::,32,allocated
afrinic,2001:4248::,32,allocated
afrinic,2001:4290::,32,allocated
afrinic,2001:42a8::,32,allocated
afrinic,2001:4328::,32,allocated
afrinic,2001:43b8::,32,allocated
afrinic,2c0f:e808::,32,allocated
afrinic,2c0f:e8f8::,32,allocated
afrinic,2c0f:ec30::,32,allocated
afrinic,2c0f:f310::,32,allocated
afrinic,2c0f:f550::,32,allocated
afrinic,2c0f:f748::,32,allocated
afrinic,2c0f:f830::,32,allocated
afrinic,2c0f:f8e0::,32,allocated
afrinic,2c0f:f9b8::,32,allocated
afrinic,2c0f:fa10::,32,allocated
afrinic,2c0f:fe30::,32,allocated
afrinic,2c0f:fe40::,32,allocated
afrinic,2c0f:fe68::,32,allocated
afrinic,2c0f:feb0::,32,allocated
afrinic,2c0f:feb1::,32,allocated
afrinic,2001:43f8:90::,48,assigned
afrinic,2001:43f8:92::,48,assigned
afrinic,2001:43f8:270::,48,assigned
afrinic,2001:43f8:271::,48,assigned
afrinic,2001:43f8:280::,48,assigned
afrinic,2001:43f8:cc0::,44,assigned
afrinic,2001:43f8:d00::,48,assigned
afrinic,2001:43f8:e00::,40,assigned
afrinic,2001:43f8:1150::,48,assigned
afrinic,2001:43f8:1151::,48,assigned
afrinic,2001:43fe:6000::,48,assigned
