region,ip,prefixlength,state
afrinic,41.94.0.0,16,allocated
afrinic,41.221.64.0,20,allocated
afrinic,41.220.160.0,20,allocated
afrinic,41.220.32.0,20,allocated
afrinic,41.138.224.0,20,allocated
afrinic,41.76.144.0,21,allocated
afrinic,41.76.0.0,21,allocated
afrinic,41.77.128.0,21,allocated
afrinic,41.77.32.0,21,allocated
afrinic,41.79.244.0,22,allocated
afrinic,41.191.72.0,22,allocated
afrinic,41.223.124.0,22,allocated
afrinic,41.223.152.0,22,allocated
afrinic,102.222.88.0,22,allocated
afrinic,102.67.188.0,22,allocated
afrinic,102.130.60.0,22,allocated
afrinic,102.176.248.0,23,assigned
afrinic,102.36.146.0,24,assigned
afrinic,105.235.216.0,21,allocated
afrinic,160.119.112.0,21,allocated
afrinic,160.119.156.0,22,allocated
afrinic,160.19.190.0,23,assigned
afrinic,165.90.64.0,19,allocated
afrinic,169.255.132.0,22,allocated
afrinic,169.239.104.0,22,allocated
afrinic,196.50.128.0,18,allocated
afrinic,196.22.48.0,20,allocated
afrinic,196.40.112.0,20,allocated
afrinic,196.46.0.0,20,allocated
afrinic,196.28.224.0,20,allocated
afrinic,196.3.96.0,21,assigned
afrinic,196.10.148.0,24,assigned
afrinic,196.11.135.0,24,assigned
afrinic,196.13.101.0,24,assigned
afrinic,196.43.234.0,24,assigned
afrinic,196.43.241.0,24,assigned
afrinic,196.49.34.0,24,assigned
afrinic,196.223.33.0,24,assigned
afrinic,197.218.0.0,15,allocated
afrinic,197.235.0.0,16,allocated
afrinic,197.249.0.0,16,allocated
afrinic,197.158.0.0,18,allocated
afrinic,197.242.160.0,20,allocated
afrinic,197.231.216.0,22,allocated
ripencc,195.140.248.0,22,assigned
