region,version,ip,prefixlength,state
lacnic,ipv4,45.5.56.0,22,allocated
lacnic,ipv4,45.5.68.0,22,allocated
lacnic,ipv4,45.65.248.0,22,allocated
lacnic,ipv4,45.71.32.0,22,allocated
lacnic,ipv4,45.167.228.0,22,allocated
lacnic,ipv4,45.169.36.0,22,allocated
lacnic,ipv4,45.169.60.0,22,allocated
lacnic,ipv4,45.169.92.0,22,allocated
lacnic,ipv4,45.169.100.0,22,allocated
lacnic,ipv4,45.170.48.0,22,allocated
lacnic,ipv4,45.171.164.0,22,allocated
lacnic,ipv4,45.172.8.0,22,allocated
lacnic,ipv4,45.173.72.0,22,allocated
lacnic,ipv4,45.173.200.0,22,allocated
lacnic,ipv4,45.177.20.0,22,allocated
lacnic,ipv4,45.177.196.0,23,allocated
lacnic,ipv4,45.178.196.0,22,assigned
lacnic,ipv4,45.182.36.0,22,allocated
lacnic,ipv4,45.183.44.0,22,allocated
lacnic,ipv4,45.183.106.0,23,allocated
lacnic,ipv4,45.183.108.0,22,allocated
lacnic,ipv4,45.185.186.0,23,allocated
lacnic,ipv4,45.186.252.0,22,allocated
lacnic,ipv4,45.189.108.0,22,allocated
lacnic,ipv4,45.189.116.0,23,allocated
lacnic,ipv4,45.189.118.0,24,allocated
lacnic,ipv4,45.189.188.0,22,allocated
lacnic,ipv4,45.190.170.0,24,allocated
lacnic,ipv4,45.191.96.0,22,allocated
lacnic,ipv4,45.191.196.0,22,allocated
lacnic,ipv4,45.224.144.0,22,allocated
lacnic,ipv4,45.225.152.0,23,allocated
lacnic,ipv4,45.226.68.0,22,allocated
lacnic,ipv4,45.227.16.0,22,allocated
lacnic,ipv4,45.230.196.0,22,allocated
lacnic,ipv4,45.230.248.0,22,allocated
lacnic,ipv4,45.231.32.0,22,allocated
lacnic,ipv4,45.231.72.0,22,allocated
lacnic,ipv4,45.231.80.0,22,allocated
lacnic,ipv4,45.232.104.0,22,allocated
lacnic,ipv4,45.232.148.0,22,allocated
lacnic,ipv4,45.232.192.0,22,allocated
lacnic,ipv4,45.236.44.0,22,allocated
lacnic,ipv4,45.236.172.0,23,allocated
lacnic,ipv4,45.236.228.0,22,allocated
lacnic,ipv4,45.237.172.0,22,allocated
lacnic,ipv4,45.239.22.0,23,allocated
lacnic,ipv4,131.161.100.0,22,allocated
lacnic,ipv4,131.255.136.0,22,allocated
lacnic,ipv4,131.255.192.0,22,allocated
lacnic,ipv4,132.157.0.0,16,allocated
lacnic,ipv4,132.184.0.0,16,allocated
lacnic,ipv4,132.191.0.0,16,allocated
lacnic,ipv4,132.251.0.0,17,allocated
lacnic,ipv4,132.251.128.0,18,allocated
lacnic,ipv4,132.251.192.0,19,allocated
lacnic,ipv4,132.255.0.0,22,allocated
lacnic,ipv4,138.36.144.0,22,allocated
lacnic,ipv4,138.59.64.0,22,allocated
lacnic,ipv4,138.117.160.0,22,allocated
lacnic,ipv4,138.185.116.0,22,allocated
lacnic,ipv4,138.186.76.0,22,allocated
lacnic,ipv4,138.204.12.0,22,allocated
lacnic,ipv4,143.0.248.0,22,allocated
lacnic,ipv4,143.137.144.0,22,allocated
lacnic,ipv4,143.208.132.0,22,allocated
lacnic,ipv4,148.102.0.0,17,allocated
lacnic,ipv4,161.132.0.0,16,assigned
lacnic,ipv4,164.163.184.0,23,allocated
lacnic,ipv4,164.163.241.0,24,assigned
lacnic,ipv4,167.249.8.0,22,allocated
