region,version,ip,prefixlength,state
apnic,ipv4,14.192.72.0,22,allocated
apnic,ipv4,27.122.16.0,20,allocated
apnic,ipv4,43.245.56.0,22,allocated
apnic,ipv4,103.127.172.0,22,allocated
apnic,ipv4,103.107.152.0,22,allocated
apnic,ipv4,103.234.48.0,22,allocated
apnic,ipv4,103.43.144.0,22,allocated
apnic,ipv4,103.25.140.0,22,allocated
apnic,ipv4,103.242.164.0,22,allocated
apnic,ipv4,103.16.156.0,22,allocated
apnic,ipv4,103.3.168.0,22,allocated
apnic,ipv4,103.15.112.0,22,allocated
apnic,ipv4,103.20.76.0,22,allocated
apnic,ipv4,103.14.88.0,22,allocated
apnic,ipv4,103.53.176.0,22,assigned
apnic,ipv4,103.153.158.0,23,allocated
apnic,ipv4,103.146.200.0,23,allocated
apnic,ipv4,103.136.226.0,23,allocated
apnic,ipv4,103.122.72.0,23,allocated
apnic,ipv4,103.99.174.0,23,allocated
apnic,ipv4,103.103.182.0,23,allocated
apnic,ipv4,103.96.134.0,23,allocated
apnic,ipv4,103.91.114.0,23,allocated
apnic,ipv4,103.83.32.0,23,allocated
apnic,ipv4,103.77.24.0,23,allocated
apnic,ipv4,103.110.30.0,23,allocated
apnic,ipv4,103.106.4.0,23,assigned
apnic,ipv4,103.173.32.0,23,assigned
apnic,ipv4,103.9.226.0,24,allocated
apnic,ipv4,103.152.8.0,24,allocated
apnic,ipv4,103.212.40.0,24,allocated
apnic,ipv4,103.110.130.0,24,allocated
apnic,ipv4,103.209.54.0,24,allocated
apnic,ipv4,103.122.165.0,24,assigned
apnic,ipv4,103.127.90.0,24,assigned
apnic,ipv4,103.123.12.0,24,assigned
apnic,ipv4,103.153.108.0,24,assigned
apnic,ipv4,103.112.101.0,24,assigned
apnic,ipv4,103.155.112.0,24,assigned
apnic,ipv4,103.167.47.0,24,assigned
apnic,ipv4,103.172.16.0,24,assigned
apnic,ipv4,103.98.52.0,24,assigned
apnic,ipv4,103.175.149.0,24,assigned
apnic,ipv4,103.88.79.0,24,assigned
apnic,ipv4,103.145.26.0,24,assigned
apnic,ipv4,103.83.197.0,24,assigned
apnic,ipv4,103.82.247.0,24,assigned
apnic,ipv4,103.49.207.0,24,assigned
apnic,ipv4,103.145.49.0,24,assigned
apnic,ipv4,119.252.224.0,20,allocated
apnic,ipv4,124.240.192.0,19,allocated
apnic,ipv4,180.150.252.0,22,allocated
apnic,ipv4,202.1.32.0,19,allocated
apnic,ipv4,202.165.192.0,20,allocated
apnic,ipv4,202.95.192.0,20,allocated
apnic,ipv4,202.1.240.0,20,allocated
apnic,ipv4,202.171.240.0,21,allocated
apnic,ipv4,202.58.128.0,22,allocated
apnic,ipv4,202.0.80.0,24,assigned
apnic,ipv4,202.61.0.0,24,assigned
apnic,ipv4,202.52.133.0,24,assigned
apnic,ipv4,202.20.68.0,24,assigned
apnic,ipv4,203.83.16.0,21,allocated
apnic,ipv6,2001:c60::,32,allocated
apnic,ipv6,2400:9300::,32,allocated
apnic,ipv6,2400:94e0::,32,allocated
apnic,ipv6,2400:bd20::,32,allocated
apnic,ipv6,2401:53c0::,32,allocated
apnic,ipv6,2401:d540::,32,allocated
apnic,ipv6,2401:f680::,32,allocated
apnic,ipv6,2402:58c0::,32,allocated
apnic,ipv6,2404:2540::,32,allocated
apnic,ipv6,2404:6400::,32,allocated
apnic,ipv6,2404:f440::,32,allocated
apnic,ipv6,2405:9f40::,32,allocated
apnic,ipv6,2407:1800::,32,allocated
apnic,ipv6,2407:3b00::,32,allocated
apnic,ipv6,2001:df0:700::,48,assigned
apnic,ipv6,2001:df1:b00::,48,assigned
apnic,ipv6,2001:dea:8000::,48,assigned
apnic,ipv6,2001:df1:bdc0::,48,assigned
apnic,ipv6,2001:df1:fb80::,48,assigned
apnic,ipv6,2001:df2:1500::,48,assigned
apnic,ipv6,2001:df3:4c00::,48,assigned
apnic,ipv6,2001:df3:c880::,48,assigned
apnic,ipv6,2001:df4:3e80::,48,assigned
apnic,ipv6,2001:df4:6900::,48,assigned
apnic,ipv6,2001:df6:a880::,48,assigned
apnic,ipv6,2001:df7:5c80::,48,assigned
apnic,ipv6,2001:df7:8c80::,48,assigned
apnic,ipv6,2001:df7:b200::,48,assigned
