region,ip,prefixlength,state
arin,23.128.16.0,24,allocated
arin,23.128.168.0,24,allocated
arin,23.129.176.0,24,allocated
arin,23.130.120.0,24,allocated
arin,23.130.144.0,24,allocated
arin,23.131.56.0,24,allocated
arin,23.131.82.0,24,allocated
arin,23.132.48.0,24,allocated
arin,23.132.152.0,24,allocated
arin,23.133.120.0,24,allocated
arin,23.134.8.0,24,allocated
arin,23.138.80.0,24,allocated
arin,23.138.88.0,24,allocated
arin,23.143.160.0,24,allocated
arin,23.144.104.0,24,allocated
arin,23.145.112.0,24,allocated
arin,23.150.240.0,24,allocated
arin,23.161.16.0,24,allocated
arin,23.162.64.0,24,allocated
arin,23.167.48.0,24,allocated
arin,23.167.80.0,24,allocated
arin,23.167.81.0,24,allocated
arin,23.171.144.0,24,allocated
arin,23.172.32.0,24,allocated
arin,23.173.160.0,24,allocated
arin,23.179.192.0,24,allocated
arin,23.179.193.0,24,allocated
arin,23.179.194.0,24,allocated
arin,23.182.144.0,24,allocated
arin,23.182.208.0,24,allocated
arin,23.190.0.0,24,allocated
arin,24.48.192.0,18,allocated
arin,24.54.192.0,18,allocated
arin,24.55.64.0,18,allocated
arin,24.55.160.0,19,allocated
arin,24.137.224.0,19,allocated
arin,24.139.64.0,18,allocated
arin,24.157.16.0,20,allocated
arin,24.227.0.0,19,allocated
arin,45.33.192.0,23,allocated
arin,45.41.40.0,22,allocated
arin,52.128.24.0,22,allocated
arin,52.129.48.0,20,allocated
arin,63.131.240.0,20,allocated
arin,63.135.240.0,20,allocated
arin,64.89.0.0,20,allocated
arin,64.89.192.0,20,allocated
arin,64.93.68.0,22,allocated
arin,64.178.192.0,19,allocated
arin,64.185.192.0,19,allocated
arin,64.186.14.0,23,allocated
arin,64.237.128.0,17,allocated
arin,64.247.160.0,20,allocated
arin,65.23.192.0,18,allocated
arin,65.38.192.0,19,allocated
arin,66.50.0.0,16,allocated
arin,66.118.224.0,22,allocated
arin,66.212.60.0,23,allocated
arin,66.230.248.0,22,allocated
arin,66.231.160.0,20,allocated
arin,67.203.192.0,18,allocated
arin,67.206.192.0,18,allocated
arin,67.215.96.0,21,allocated
arin,67.215.104.0,22,allocated
arin,67.224.128.0,17,allocated
arin,70.35.128.0,20,allocated
arin,70.45.0.0,16,allocated
arin,72.46.140.0,22,allocated
arin,72.46.156.0,23,allocated
arin,72.46.158.0,23,allocated
arin,72.50.0.0,17,allocated
arin,72.249.208.0,21,allocated
arin,74.85.156.0,23,allocated
arin,74.119.24.0,22,allocated
arin,74.120.24.0,21,allocated
arin,74.123.48.0,22,allocated
arin,74.213.64.0,18,allocated
arin,76.72.240.0,20,allocated
arin,76.76.192.0,20,allocated
arin,103.44.72.0,22,allocated
arin,104.218.240.0,22,allocated
arin,104.219.28.0,22,allocated
arin,104.238.192.0,22,allocated
arin,104.238.232.0,23,allocated
arin,104.247.70.0,24,allocated
arin,104.255.180.0,22,allocated
arin,134.202.0.0,16,allocated
arin,136.145.0.0,16,allocated
arin,136.175.224.0,22,allocated
arin,139.60.176.0,20,allocated
arin,147.92.80.0,21,allocated
arin,161.38.240.0,22,allocated
arin,162.12.224.0,21,allocated
arin,162.210.40.0,22,allocated
arin,162.212.160.0,21,allocated
arin,162.220.96.0,21,allocated
arin,162.221.181.0,24,allocated
arin,162.222.108.0,22,allocated
arin,162.244.16.0,22,allocated
arin,162.244.168.0,22,allocated
arin,162.246.172.0,22,allocated
arin,162.248.44.0,22,allocated
arin,162.251.156.0,22,allocated
arin,164.42.0.0,16,allocated
arin,165.140.160.0,22,allocated
arin,167.94.224.0,23,allocated
arin,169.197.130.0,24,allocated
arin,169.197.184.0,22,allocated
arin,170.39.205.0,24,allocated
arin,172.84.145.0,24,allocated
arin,172.93.2.0,23,allocated
arin,172.93.7.0,24,allocated
arin,172.96.168.0,22,allocated
arin,172.99.184.0,22,allocated
arin,173.211.128.0,18,allocated
arin,173.215.128.0,17,allocated
arin,173.228.192.0,18,allocated
arin,173.243.80.0,20,allocated
arin,190.211.150.0,23,allocated
arin,192.30.40.0,22,allocated
arin,192.48.113.0,24,allocated
arin,192.65.176.0,24,allocated
arin,192.75.187.0,24,allocated
arin,192.92.193.0,24,allocated
arin,192.101.169.0,24,allocated
arin,192.107.111.0,24,allocated
arin,192.135.110.0,23,allocated
arin,192.152.164.0,24,allocated
arin,192.155.158.0,23,allocated
arin,192.158.62.0,23,allocated
arin,192.160.174.0,24,allocated
arin,192.160.175.0,24,allocated
arin,192.160.176.0,24,allocated
arin,192.189.95.0,24,allocated
arin,192.203.0.0,24,allocated
arin,192.207.48.0,24,allocated
arin,192.228.98.0,23,allocated
arin,192.231.92.0,24,allocated
arin,192.231.93.0,24,allocated
arin,192.231.94.0,23,allocated
arin,192.231.96.0,23,allocated
arin,192.254.96.0,20,allocated
arin,196.1.2.0,24,allocated
arin,196.1.141.0,24,allocated
arin,196.3.8.0,22,allocated
arin,196.3.12.0,23,allocated
arin,196.12.0.0,21,allocated
arin,196.12.8.0,23,allocated
arin,196.12.160.0,19,allocated
arin,196.28.48.0,20,allocated
arin,196.32.128.0,19,allocated
arin,196.42.0.0,18,allocated
arin,198.52.240.0,22,allocated
arin,198.55.16.0,21,allocated
arin,198.55.24.0,23,allocated
arin,198.190.136.0,23,allocated
arin,198.204.71.0,24,allocated
arin,198.204.72.0,24,allocated
arin,198.244.64.0,20,allocated
arin,198.245.96.0,20,allocated
arin,198.245.139.0,24,allocated
arin,198.245.255.0,24,allocated
arin,199.7.168.0,22,allocated
arin,199.7.208.0,22,allocated
arin,199.27.96.0,21,allocated
arin,199.71.93.0,24,allocated
arin,199.85.204.0,22,allocated
arin,199.91.76.0,22,allocated
arin,199.116.56.0,22,allocated
arin,199.116.60.0,23,allocated
arin,199.116.62.0,23,allocated
arin,199.119.248.0,22,allocated
arin,199.193.160.0,22,allocated
arin,199.247.80.0,22,allocated
arin,199.255.116.0,22,allocated
arin,200.5.2.0,23,allocated
arin,200.5.4.0,22,allocated
arin,200.5.8.0,24,allocated
arin,200.5.11.0,24,allocated
arin,200.50.0.0,19,allocated
arin,204.15.144.0,21,allocated
arin,204.27.224.0,24,allocated
arin,204.77.10.0,23,allocated
arin,204.124.99.0,24,allocated
arin,204.144.78.0,24,allocated
arin,204.154.228.0,24,allocated
arin,204.238.70.0,24,allocated
arin,206.51.0.0,24,allocated
arin,206.166.204.0,22,allocated
arin,206.190.216.0,22,allocated
arin,206.248.64.0,18,allocated
arin,207.150.240.0,20,allocated
arin,207.166.112.0,20,allocated
arin,207.167.84.0,22,allocated
arin,207.174.136.0,24,allocated
arin,207.204.128.0,18,allocated
arin,208.54.176.0,20,allocated
arin,208.80.236.0,22,allocated
arin,208.81.58.0,23,allocated
arin,208.81.168.0,21,allocated
arin,208.83.38.0,24,allocated
