region,version,ip,prefixlength,state
apnic,ipv4,103.2.88.0,22,allocated
apnic,ipv4,103.21.248.0,22,allocated
apnic,ipv4,103.21.230.0,23,allocated
apnic,ipv4,103.115.80.0,23,allocated
apnic,ipv4,103.140.178.0,23,allocated
apnic,ipv4,103.142.98.0,23,allocated
apnic,ipv4,103.166.98.0,23,allocated
apnic,ipv4,103.175.40.0,23,allocated
apnic,ipv4,103.89.36.0,24,assigned
apnic,ipv4,103.150.76.0,24,assigned
apnic,ipv4,103.9.50.0,24,assigned
apnic,ipv4,202.1.160.0,19,allocated
apnic,ipv4,202.63.254.0,23,assigned
apnic,ipv6,2405:1cc0::,32,allocated
apnic,ipv6,2405:8300::,32,allocated
apnic,ipv6,2405:c0c0::,32,allocated
apnic,ipv6,2407:3800::,32,allocated
apnic,ipv6,2001:df1:3b80::,48,assigned
apnic,ipv6,2001:df1:7dc0::,48,assigned
apnic,ipv6,2001:df3:5f80::,48,assigned
apnic,ipv6,2001:df7:b580::,48,assigned
apnic,ipv6,2001:df7:eb80::,48,assigned
