region,ip,prefixlength,state
afrinic,2c0f:b00::,32,allocated
afrinic,2c0f:4700::,32,allocated
afrinic,2c0f:ed08::,32,allocated
afrinic,2c0f:eef8::,32,allocated
afrinic,2c0f:f068::,32,allocated
afrinic,2c0f:f6b8::,32,allocated
afrinic,2c0f:f710::,32,allocated
afrinic,2c0f:f8f8::,32,allocated
afrinic,2c0f:fb38::,32,allocated
afrinic,2c0f:fcd8::,32,allocated
afrinic,2001:43f8:11a0::,48,assigned
afrinic,2001:43f8:11a1::,48,assigned
afrinic,2001:43f8:1350::,48,assigned
afrinic,2001:43f8:1380::,48,assigned
