region,version,ip,prefixlength,state
afrinic,ipv4,41.60.0.0,16,allocated
afrinic,ipv4,41.63.0.0,18,allocated
afrinic,ipv4,41.72.96.0,19,allocated
afrinic,ipv4,41.216.64.0,19,allocated
afrinic,ipv4,41.215.176.0,20,allocated
afrinic,ipv4,41.77.0.0,21,allocated
afrinic,ipv4,41.222.16.0,21,allocated
afrinic,ipv4,41.191.116.0,22,allocated
afrinic,ipv4,41.223.116.0,22,allocated
afrinic,ipv4,45.212.0.0,14,allocated
afrinic,ipv4,80.88.3.0,24,assigned
afrinic,ipv4,102.144.0.0,13,allocated
afrinic,ipv4,102.221.240.0,22,allocated
afrinic,ipv4,102.67.160.0,22,allocated
afrinic,ipv4,102.68.136.0,22,allocated
afrinic,ipv4,102.23.120.0,22,allocated
afrinic,ipv4,102.220.158.0,23,allocated
afrinic,ipv4,102.216.214.0,23,assigned
afrinic,ipv4,102.130.100.0,24,assigned
afrinic,ipv4,154.73.232.0,22,allocated
afrinic,ipv4,155.0.0.0,16,allocated
afrinic,ipv4,165.56.0.0,13,allocated
afrinic,ipv4,196.46.192.0,19,allocated
afrinic,ipv4,196.12.12.0,22,allocated
afrinic,ipv4,196.46.124.0,22,allocated
afrinic,ipv4,196.223.29.0,24,assigned
afrinic,ipv4,196.13.104.0,24,assigned
afrinic,ipv4,196.49.88.0,24,assigned
afrinic,ipv4,196.223.2.0,24,assigned
afrinic,ipv4,196.60.94.0,24,assigned
afrinic,ipv4,197.212.0.0,15,allocated
afrinic,ipv4,197.220.0.0,19,allocated
afrinic,ipv4,197.231.244.0,22,allocated
afrinic,ipv6,2c0f:e9c0::,32,allocated
afrinic,ipv6,2c0f:f670::,32,allocated
afrinic,ipv6,2c0f:f938::,32,allocated
afrinic,ipv6,2c0f:fcc8::,32,allocated
afrinic,ipv6,2c0f:fd40::,32,allocated
afrinic,ipv6,2c0f:fd90::,32,allocated
afrinic,ipv6,2c0f:fd98::,32,allocated
afrinic,ipv6,2c0f:feb8::,32,allocated
afrinic,ipv6,2001:43f8:140::,48,assigned
afrinic,ipv6,2001:43f8:aa0::,48,assigned
afrinic,ipv6,2001:43f8:da0::,48,assigned
afrinic,ipv6,2001:43f8:1680::,48,assigned
afrinic,ipv6,2001:43f8:1681::,48,assigned
