region,ip,prefixlength,state
afrinic,41.60.0.0,16,allocated
afrinic,41.63.0.0,18,allocated
afrinic,41.72.96.0,19,allocated
afrinic,41.77.0.0,21,allocated
afrinic,41.191.116.0,22,allocated
afrinic,41.215.176.0,20,allocated
afrinic,41.216.64.0,19,allocated
afrinic,41.222.16.0,21,allocated
afrinic,41.223.116.0,22,allocated
afrinic,45.212.0.0,14,allocated
afrinic,80.88.3.0,24,assigned
afrinic,102.23.120.0,22,allocated
afrinic,102.67.160.0,22,allocated
afrinic,102.68.136.0,22,allocated
afrinic,102.130.100.0,24,assigned
afrinic,102.144.0.0,13,allocated
afrinic,102.216.214.0,23,assigned
afrinic,102.220.158.0,23,allocated
afrinic,102.221.240.0,22,allocated
afrinic,154.73.232.0,22,allocated
afrinic,155.0.0.0,16,allocated
afrinic,165.56.0.0,13,allocated
afrinic,196.12.12.0,22,allocated
afrinic,196.13.104.0,24,assigned
afrinic,196.46.124.0,22,allocated
afrinic,196.46.192.0,19,allocated
afrinic,196.49.88.0,24,assigned
afrinic,196.60.94.0,24,assigned
afrinic,196.223.2.0,24,assigned
afrinic,196.223.29.0,24,assigned
afrinic,197.212.0.0,15,allocated
afrinic,197.220.0.0,19,allocated
afrinic,197.231.244.0,22,allocated
