region,version,ip,prefixlength,state
afrinic,ipv4,41.190.32.0,19,allocated
afrinic,ipv4,41.85.192.0,19,allocated
afrinic,ipv4,41.57.64.0,20,allocated
afrinic,ipv4,41.220.16.0,20,allocated
afrinic,ipv4,41.221.144.0,20,allocated
afrinic,ipv4,41.191.232.0,21,allocated
afrinic,ipv4,41.79.56.0,22,allocated
afrinic,ipv4,41.79.28.0,22,allocated
afrinic,ipv4,41.79.188.0,22,allocated
afrinic,ipv4,41.78.76.0,22,allocated
afrinic,ipv4,102.177.192.0,21,allocated
afrinic,ipv4,102.128.76.0,22,allocated
afrinic,ipv4,102.165.112.0,22,allocated
afrinic,ipv4,102.177.72.0,22,allocated
afrinic,ipv4,102.215.144.0,22,allocated
afrinic,ipv4,102.217.48.0,22,allocated
afrinic,ipv4,102.218.12.0,22,allocated
afrinic,ipv4,154.119.80.0,20,allocated
afrinic,ipv4,154.73.80.0,22,allocated
afrinic,ipv4,168.253.32.0,19,allocated
afrinic,ipv4,169.239.24.0,22,allocated
afrinic,ipv4,196.43.96.0,19,allocated
afrinic,ipv4,196.27.96.0,19,allocated
afrinic,ipv4,196.220.96.0,19,assigned
afrinic,ipv4,196.44.176.0,20,allocated
afrinic,ipv4,196.29.32.0,21,allocated
afrinic,ipv4,196.216.224.0,23,assigned
afrinic,ipv4,196.60.44.0,24,assigned
afrinic,ipv4,196.49.46.0,24,assigned
afrinic,ipv4,196.43.199.0,24,assigned
afrinic,ipv4,196.41.88.0,24,assigned
afrinic,ipv4,196.4.80.0,24,assigned
afrinic,ipv4,196.201.1.0,24,assigned
afrinic,ipv4,197.221.224.0,19,allocated
afrinic,ipv4,197.157.204.0,22,allocated
afrinic,ipv6,2001:42b0::,32,allocated
afrinic,ipv6,2001:43f0::,32,allocated
afrinic,ipv6,2c0f:1e80::,32,allocated
afrinic,ipv6,2c0f:ec78::,32,allocated
afrinic,ipv6,2c0f:f0b8::,32,allocated
afrinic,ipv6,2c0f:f1b0::,32,allocated
afrinic,ipv6,2c0f:f4a0::,32,allocated
afrinic,ipv6,2c0f:f758::,32,allocated
afrinic,ipv6,2c0f:f7a0::,32,allocated
afrinic,ipv6,2c0f:f8f0::,32,allocated
afrinic,ipv6,2c0f:fa98::,32,allocated
afrinic,ipv6,2c0f:fd48::,32,allocated
afrinic,ipv6,2001:43f8:310::,48,assigned
afrinic,ipv6,2001:43f8:9e0::,48,assigned
afrinic,ipv6,2001:43f8:1020::,48,assigned
afrinic,ipv6,2001:43f8:10b0::,48,assigned
