version,ip,prefixlength
ipv4,0.0.0.0,8
ipv4,10.0.0.0,8
ipv4,41.88.0.0,16
ipv4,41.93.128.0,17
ipv4,41.245.128.0,17
ipv4,41.210.64.0,18
ipv4,41.209.192.0,18
ipv4,41.72.0.0,18
ipv4,41.67.192.0,18
ipv4,41.57.192.0,18
ipv4,41.139.0.0,18
ipv4,41.211.0.0,19
ipv4,41.205.224.0,19
ipv4,41.202.128.0,19
ipv4,41.202.0.0,19
ipv4,41.191.160.0,19
ipv4,41.138.0.0,19
ipv4,41.72.64.0,19
ipv4,41.72.224.0,19
ipv4,41.73.64.0,19
ipv4,41.75.224.0,19
ipv4,41.86.64.0,19
ipv4,41.220.48.0,20
ipv4,41.74.32.0,20
ipv4,41.74.224.0,20
ipv4,41.217.128.0,20
ipv4,41.138.192.0,20
ipv4,41.220.192.0,20
ipv4,41.92.160.0,20
ipv4,41.222.240.0,21
ipv4,41.77.240.0,21
ipv4,41.77.192.0,21
ipv4,41.77.176.0,21
ipv4,41.92.144.0,21
ipv4,41.190.72.0,21
ipv4,41.77.120.0,21
ipv4,41.191.240.0,21
ipv4,41.92.240.0,21
ipv4,41.92.232.0,21
ipv4,41.77.64.0,21
ipv4,41.77.224.0,21
ipv4,41.76.120.0,21
ipv4,41.76.64.0,21
ipv4,41.242.32.0,21
ipv4,41.242.8.0,21
ipv4,41.76.48.0,21
ipv4,41.76.24.0,21
ipv4,41.217.152.0,21
ipv4,41.223.88.0,21
ipv4,41.222.24.0,21
ipv4,41.92.136.0,21
ipv4,41.76.88.0,21
ipv4,41.77.208.0,21
ipv4,41.57.124.0,22
ipv4,41.78.40.0,22
ipv4,41.92.176.0,22
ipv4,41.57.116.0,22
ipv4,41.78.60.0,22
ipv4,41.78.96.0,22
ipv4,41.78.112.0,22
ipv4,41.78.164.0,22
ipv4,41.78.204.0,22
ipv4,41.79.40.0,22
ipv4,41.79.52.0,22
ipv4,41.79.128.0,22
ipv4,41.79.144.0,22
ipv4,41.79.164.0,22
ipv4,41.78.0.0,22
ipv4,41.223.16.0,22
ipv4,41.78.32.0,22
ipv4,41.92.188.0,22
ipv4,41.222.220.0,22
ipv4,41.223.112.0,22
ipv4,41.217.144.0,22
ipv4,41.223.176.0,22
ipv4,41.242.84.0,22
ipv4,41.207.228.0,22
ipv4,41.242.92.0,22
ipv4,41.242.120.0,22
ipv4,41.242.128.0,22
ipv4,41.191.252.0,22
ipv4,41.92.192.0,22
ipv4,41.92.204.0,22
ipv4,41.92.220.0,22
ipv4,41.190.64.0,22
ipv4,41.92.228.0,22
ipv4,41.57.114.0,23
ipv4,41.92.226.0,23
ipv4,41.92.225.0,24
ipv4,41.57.113.0,24
ipv4,45.220.32.0,20
ipv4,45.221.28.0,22
ipv4,45.221.20.0,22
ipv4,45.220.50.0,23
ipv4,80.88.6.0,24
ipv4,81.4.0.0,18
ipv4,81.26.64.0,21
ipv4,82.128.0.0,17
ipv4,100.64.0.0,10
ipv4,102.224.0.0,12
ipv4,102.183.0.0,16
ipv4,102.181.224.0,19
ipv4,102.129.0.0,19
ipv4,102.177.224.0,19
ipv4,102.131.0.0,20
ipv4,102.177.208.0,20
ipv4,102.23.64.0,20
ipv4,102.128.64.0,21
ipv4,102.23.104.0,21
ipv4,102.68.88.0,21
ipv4,102.64.80.0,21
ipv4,102.177.88.0,21
ipv4,102.212.104.0,21
ipv4,102.132.88.0,21
ipv4,102.140.104.0,21
ipv4,102.140.120.0,21
ipv4,102.141.216.0,21
ipv4,102.212.176.0,21
ipv4,102.177.200.0,21
ipv4,102.212.136.0,21
ipv4,102.218.248.0,22
ipv4,102.219.128.0,22
ipv4,102.219.244.0,22
ipv4,102.220.0.0,22
ipv4,102.220.136.0,22
ipv4,102.130.8.0,22
ipv4,102.221.104.0,22
ipv4,102.221.144.0,22
ipv4,102.130.56.0,22
ipv4,102.36.244.0,22
ipv4,102.218.168.0,22
ipv4,102.222.32.0,22
ipv4,102.222.52.0,22
ipv4,102.36.232.0,22
ipv4,102.222.224.0,22
ipv4,102.36.188.0,22
ipv4,102.36.128.0,22
ipv4,102.23.124.0,22
ipv4,102.223.244.0,22
ipv4,102.68.52.0,22
ipv4,102.68.184.0,22
ipv4,102.128.72.0,22
ipv4,102.213.104.0,22
ipv4,102.128.188.0,22
ipv4,102.131.24.0,22
ipv4,102.132.84.0,22
ipv4,102.134.76.0,22
ipv4,102.141.228.0,22
ipv4,102.177.76.0,22
ipv4,102.177.96.0,22
ipv4,102.212.100.0,22
ipv4,102.213.244.0,22
ipv4,102.212.112.0,22
ipv4,102.212.152.0,22
ipv4,102.212.172.0,22
ipv4,102.212.188.0,22
ipv4,102.212.228.0,22
ipv4,102.212.244.0,22
ipv4,102.212.252.0,22
ipv4,102.213.12.0,22
ipv4,102.23.100.0,22
ipv4,102.213.40.0,22
ipv4,102.212.132.0,22
ipv4,102.22.84.0,22
ipv4,102.36.194.0,23
ipv4,102.220.242.0,23
ipv4,102.223.152.0,23
ipv4,102.213.16.0,23
ipv4,102.218.96.0,23
ipv4,102.222.238.0,23
ipv4,102.130.98.0,23
ipv4,102.223.60.0,23
ipv4,102.223.108.0,23
ipv4,102.223.112.0,23
ipv4,102.222.60.0,24
ipv4,102.222.26.0,24
ipv4,102.68.23.0,24
ipv4,102.223.172.0,24
ipv4,102.68.127.0,24
ipv4,102.68.140.0,24
ipv4,102.131.17.0,24
ipv4,102.222.254.0,24
ipv4,102.222.24.0,24
ipv4,105.178.128.0,17
ipv4,105.179.128.0,17
ipv4,105.179.64.0,18
ipv4,105.179.32.0,19
ipv4,127.0.0.0,8
ipv4,129.205.80.0,20
ipv4,137.171.0.0,16
ipv4,154.0.64.0,18
ipv4,154.117.0.0,18
ipv4,154.70.64.0,20
ipv4,154.127.96.0,20
ipv4,154.118.232.0,21
ipv4,154.65.40.0,21
ipv4,154.115.144.0,21
ipv4,154.73.144.0,21
ipv4,154.73.200.0,21
ipv4,154.73.236.0,22
ipv4,154.73.116.0,22
ipv4,154.73.76.0,22
ipv4,154.73.12.0,22
ipv4,154.72.28.0,22
ipv4,154.73.176.0,22
ipv4,154.115.152.0,22
ipv4,154.70.156.0,22
ipv4,154.70.196.0,22
ipv4,154.66.100.0,22
ipv4,154.66.84.0,22
ipv4,154.65.48.0,22
ipv4,154.118.248.0,22
ipv4,155.255.0.0,16
ipv4,155.11.0.0,16
ipv4,155.12.192.0,19
ipv4,156.0.84.0,22
ipv4,156.0.220.0,22
ipv4,156.0.240.0,22
ipv4,156.38.0.0,22
ipv4,156.0.254.0,24
ipv4,160.255.0.0,16
ipv4,160.181.0.0,16
ipv4,160.184.0.0,16
ipv4,160.0.224.0,19
ipv4,160.19.60.0,22
ipv4,160.19.192.0,22
ipv4,160.19.236.0,22
ipv4,160.20.252.0,22
ipv4,160.119.104.0,22
ipv4,160.226.188.0,22
ipv4,164.160.208.0,20
ipv4,164.160.160.0,20
ipv4,164.160.200.0,21
ipv4,164.160.152.0,21
ipv4,164.160.28.0,22
ipv4,164.160.12.0,22
ipv4,164.160.56.0,22
ipv4,164.160.96.0,22
ipv4,164.160.188.0,22
ipv4,164.160.128.0,22
ipv4,164.160.112.0,22
ipv4,165.52.0.0,14
ipv4,165.73.144.0,20
ipv4,168.211.0.0,16
ipv4,169.254.0.0,16
ipv4,169.255.96.0,21
ipv4,169.239.48.0,21
ipv4,169.255.92.0,22
ipv4,169.255.108.0,22
ipv4,169.239.172.0,22
ipv4,169.239.144.0,22
ipv4,169.239.56.0,22
ipv4,169.255.140.0,22
ipv4,169.239.88.0,22
ipv4,169.255.212.0,22
ipv4,169.255.200.0,22
ipv4,169.255.224.0,22
ipv4,169.255.10.0,23
ipv4,169.255.8.0,24
ipv4,172.16.0.0,12
ipv4,192.168.0.0,16
ipv4,192.145.164.0,22
ipv4,192.83.212.0,22
ipv4,192.88.99.0,24
ipv4,192.31.196.0,24
ipv4,192.0.2.0,24
ipv4,192.0.0.0,24
ipv4,192.52.193.0,24
ipv4,192.175.48.0,24
ipv4,193.189.64.0,23
ipv4,193.194.2.0,23
ipv4,193.194.4.0,23
ipv4,193.189.128.0,24
ipv4,193.194.1.0,24
ipv4,193.188.7.0,24
ipv4,194.6.224.0,24
ipv4,196.160.0.0,13
ipv4,196.52.0.0,14
ipv4,196.194.0.0,15
ipv4,196.62.0.0,15
ipv4,196.193.0.0,16
ipv4,196.246.0.0,16
ipv4,196.60.128.0,17
ipv4,196.49.128.0,17
ipv4,196.42.128.0,17
ipv4,196.207.64.0,18
ipv4,196.192.192.0,18
ipv4,196.2.224.0,19
ipv4,196.20.32.0,19
ipv4,196.29.96.0,19
ipv4,196.49.112.0,20
ipv4,196.32.16.0,20
ipv4,196.45.112.0,20
ipv4,196.60.16.0,20
ipv4,196.250.160.0,20
ipv4,196.220.208.0,20
ipv4,196.32.200.0,21
ipv4,196.202.224.0,21
ipv4,196.49.104.0,21
ipv4,196.60.120.0,21
ipv4,196.6.176.0,21
ipv4,196.46.248.0,21
ipv4,196.46.152.0,21
ipv4,196.250.248.0,22
ipv4,196.10.252.0,22
ipv4,196.49.100.0,22
ipv4,196.10.56.0,22
ipv4,196.6.192.0,22
ipv4,196.1.52.0,22
ipv4,196.60.32.0,22
ipv4,196.22.12.0,22
ipv4,196.60.116.0,22
ipv4,196.46.112.0,22
ipv4,196.60.100.0,22
ipv4,196.216.196.0,22
ipv4,196.61.0.0,22
ipv4,196.41.78.0,23
ipv4,196.6.186.0,23
ipv4,196.49.78.0,23
ipv4,196.41.70.0,23
ipv4,196.60.98.0,23
ipv4,196.1.26.0,23
ipv4,196.49.36.0,23
ipv4,196.49.98.0,23
ipv4,196.216.232.0,23
ipv4,196.11.150.0,23
ipv4,196.11.250.0,23
ipv4,196.49.80.0,23
ipv4,196.49.70.0,23
ipv4,196.41.92.0,23
ipv4,196.46.18.0,23
ipv4,196.60.62.0,23
ipv4,196.43.254.0,23
ipv4,196.60.72.0,23
ipv4,196.60.37.0,24
ipv4,196.60.41.0,24
ipv4,196.60.39.0,24
ipv4,196.49.45.0,24
ipv4,196.49.43.0,24
ipv4,196.49.47.0,24
ipv4,196.49.49.0,24
ipv4,196.49.51.0,24
ipv4,196.49.85.0,24
ipv4,196.49.53.0,24
ipv4,196.49.83.0,24
ipv4,196.49.55.0,24
ipv4,196.49.57.0,24
ipv4,196.49.39.0,24
ipv4,196.49.59.0,24
ipv4,196.49.41.0,24
ipv4,196.49.75.0,24
ipv4,196.49.73.0,24
ipv4,196.49.87.0,24
ipv4,196.49.63.0,24
ipv4,196.49.65.0,24
ipv4,196.49.67.0,24
ipv4,196.49.61.0,24
ipv4,196.60.45.0,24
ipv4,196.49.89.0,24
ipv4,196.60.77.0,24
ipv4,196.60.79.0,24
ipv4,196.60.81.0,24
ipv4,196.60.83.0,24
ipv4,196.60.85.0,24
ipv4,196.60.87.0,24
ipv4,196.60.91.0,24
ipv4,196.60.75.0,24
ipv4,196.60.93.0,24
ipv4,196.60.105.0,24
ipv4,196.60.107.0,24
ipv4,196.60.109.0,24
ipv4,196.60.111.0,24
ipv4,196.60.113.0,24
ipv4,196.60.115.0,24
ipv4,196.216.0.0,24
ipv4,196.60.95.0,24
ipv4,196.60.65.0,24
ipv4,196.60.60.0,24
ipv4,196.60.59.0,24
ipv4,196.49.91.0,24
ipv4,196.49.93.0,24
ipv4,196.49.95.0,24
ipv4,196.49.97.0,24
ipv4,196.60.15.0,24
ipv4,196.60.47.0,24
ipv4,196.50.21.0,24
ipv4,196.60.49.0,24
ipv4,196.60.1.0,24
ipv4,196.60.3.0,24
ipv4,196.60.5.0,24
ipv4,196.60.51.0,24
ipv4,196.60.13.0,24
ipv4,196.60.53.0,24
ipv4,196.49.35.0,24
ipv4,196.60.55.0,24
ipv4,196.60.57.0,24
ipv4,196.60.43.0,24
ipv4,196.49.33.0,24
ipv4,196.60.69.0,24
ipv4,196.49.29.0,24
ipv4,196.41.64.0,24
ipv4,196.28.9.0,24
ipv4,196.13.203.0,24
